#blocchi mean_prog err_prog
1 0.0851372 0
2 0.0824533 0.00268387
3 0.081621 0.00175893
4 0.082147 0.0013504
5 0.0823961 0.00107526
6 0.0828372 0.000982542
7 0.0825559 0.00087674
8 0.0825923 0.000760149
9 0.082646 0.00067254
10 0.0825403 0.000610759
11 0.0825668 0.000553088
12 0.0824752 0.000513148
13 0.082476 0.000472029
14 0.082921 0.000623673
15 0.0828104 0.000591057
16 0.0827312 0.000558526
17 0.0826633 0.000529014
18 0.0829222 0.000561953
19 0.0828709 0.00053402
20 0.0828575 0.000506794
21 0.0827783 0.000488523
22 0.0828471 0.000470849
23 0.0829234 0.000456331
24 0.0829624 0.000438636
25 0.0829768 0.000420973
26 0.0830208 0.000406848
27 0.083088 0.000397201
28 0.0831847 0.00039479
29 0.0832228 0.000382836
30 0.083284 0.000374872
31 0.0830982 0.000407379
32 0.083085 0.000394666
33 0.0831507 0.000388122
34 0.0831164 0.000378094
35 0.0830423 0.000374521
36 0.0829962 0.000366888
37 0.082905 0.000368287
38 0.0828967 0.000358561
39 0.0828595 0.000351221
40 0.082962 0.000357344
41 0.0830343 0.000355942
42 0.0830562 0.000348053
43 0.0831641 0.000356575
44 0.0832112 0.000351551
45 0.0832832 0.000351102
46 0.0833114 0.000344547
47 0.0833432 0.000338626
48 0.0834466 0.000347245
49 0.0834777 0.000341506
50 0.0834959 0.0003351
51 0.0834718 0.000329342
52 0.0834328 0.000325294
53 0.0834644 0.000320661
54 0.0834833 0.000315233
55 0.0835081 0.000310439
56 0.083506 0.000304852
57 0.083539 0.000301271
58 0.0834994 0.000298665
59 0.0834668 0.000295367
60 0.08347 0.00029042
61 0.0834718 0.000285625
62 0.0835055 0.000282995
63 0.0835561 0.000283012
64 0.0835179 0.000281157
65 0.083487 0.000278512
66 0.0834723 0.000274658
67 0.0834946 0.000271448
68 0.0834391 0.00027313
69 0.0833945 0.000272802
70 0.0833885 0.000268943
71 0.0833613 0.00026652
72 0.0833867 0.000264009
73 0.0833689 0.000260973
74 0.0833666 0.000257432
75 0.0834008 0.000256268
76 0.083438 0.000255599
77 0.0833928 0.00025628
78 0.0833877 0.000253024
79 0.0833681 0.00025057
80 0.0833626 0.000247479
81 0.0833008 0.000252101
82 0.0832912 0.000249194
83 0.0833379 0.000250561
84 0.0833323 0.000247623
85 0.0833221 0.000244906
86 0.0833252 0.000242062
87 0.0833276 0.000239275
88 0.0833263 0.000236543
89 0.0833344 0.000234009
90 0.0833084 0.000232844
91 0.0833642 0.000236915
92 0.0833934 0.000236142
93 0.0834357 0.000237389
94 0.0834318 0.000234882
95 0.0834494 0.000233064
96 0.0834361 0.000231005
97 0.0834632 0.000230204
98 0.0834771 0.000228267
99 0.0834729 0.000225987
100 0.0834675 0.000223781
