#blocchi mean_prog err_prog
1 4.6499 0
2 2.0582 2.59169
3 2.5122 1.56367
4 1.65786 1.3973
5 1.27673 1.14748
6 0.936585 0.996751
7 -3.25778 4.27812
8 -2.51227 3.77922
9 -1.92082 3.38503
10 -1.72947 3.03371
11 -1.29708 2.77795
12 -1.42644 2.5392
13 -0.786297 2.42186
14 -0.760198 2.24236
15 -0.718847 2.08793
16 -0.675041 1.95357
17 -0.485428 1.84483
18 -0.333392 1.74596
19 -0.365322 1.65182
20 -0.170584 1.57911
21 -0.151924 1.50215
22 -0.169291 1.43235
23 -0.0929622 1.37078
24 -0.14704 1.31354
25 -0.826985 1.43167
26 -0.822474 1.37551
27 -0.874119 1.32459
28 -0.83079 1.27714
29 -0.776134 1.23353
30 -0.804949 1.19205
31 -0.7551 1.15403
32 -0.585806 1.13014
33 -0.552774 1.09586
34 -0.495416 1.06468
35 -1.64385 1.54521
36 -1.61661 1.50192
37 -1.45818 1.46933
38 -1.51459 1.43125
39 -1.52277 1.3941
40 -2.31699 1.57388
41 -2.24156 1.53687
42 -2.18868 1.50076
43 -2.10769 1.46768
44 -1.78813 1.46911
45 -1.76292 1.43632
46 -1.6467 1.40954
47 -1.60142 1.37997
48 -1.55277 1.35179
49 -1.56654 1.32399
50 -1.53135 1.29772
51 -1.4914 1.27264
52 -1.41545 1.25024
53 -1.31046 1.23091
54 -1.23344 1.21035
55 -1.15305 1.19086
56 -1.12292 1.16979
57 -1.04411 1.15178
58 -1.04927 1.13176
59 -1.06731 1.11256
60 -1.06282 1.09387
61 -1.07411 1.07585
62 -1.07538 1.05835
63 -1.08135 1.04143
64 -1.50834 1.11041
65 -1.49914 1.09323
66 -1.49144 1.07657
67 -1.38266 1.06595
68 -1.38329 1.05015
69 -1.34902 1.03539
70 -1.36077 1.02056
71 -1.28976 1.00858
72 -1.27496 0.994587
73 -1.31024 0.981502
74 -1.45672 0.979167
75 -1.44286 0.966123
76 -1.44544 0.95333
77 -1.41396 0.941394
78 -1.35402 0.931177
79 -1.35518 0.919315
80 -1.33829 0.907908
81 -1.31423 0.896952
82 -1.23582 0.88941
83 -1.17309 0.880865
84 -1.15164 0.87058
85 -1.2228 0.863214
86 -1.19761 0.853489
87 -1.19393 0.84363
88 -1.1032 0.838908
89 -1.05916 0.830597
90 -1.01762 0.822366
91 -1.01902 0.81328
92 -0.910625 0.811662
93 -0.895402 0.803031
94 -0.862339 0.79513
95 -1.03015 0.804415
96 -1.03061 0.795992
97 -1.02984 0.787743
98 -0.973102 0.781725
99 -1.00061 0.774278
100 -1.01699 0.766671
