#step        √r^2           err
0             0             0
1             1   1.49012e-09
2       1.41939    0.00327772
3        1.7417    0.00629581
4       2.01366     0.0072965
5       2.25766    0.00796092
6       2.47066    0.00857855
7       2.66484     0.0103587
8       2.85424     0.0116901
9       3.02555     0.0123406
10       3.18877     0.0132602
11       3.34821      0.013961
12       3.49383     0.0144744
13       3.63963     0.0146351
14        3.7657     0.0154159
15       3.90183     0.0165627
16       4.02612     0.0170287
17       4.15262     0.0181711
18       4.28011     0.0188421
19       4.39115     0.0192894
20       4.49413     0.0193841
21       4.60821     0.0196826
22       4.72123     0.0198648
23       4.81785     0.0218334
24       4.90818      0.023176
25       5.00076     0.0224388
26       5.09472     0.0231532
27       5.19089     0.0241226
28       5.28483     0.0250055
29       5.38071     0.0255312
30       5.47009     0.0248672
31       5.57589     0.0251819
32       5.66335     0.0264658
33       5.75045     0.0267805
34       5.83934     0.0271204
35       5.92089     0.0270121
36       6.00288     0.0282052
37       6.08369     0.0282708
38       6.15862     0.0285932
39       6.24301       0.02856
40       6.32612      0.029614
41       6.40601     0.0295827
42       6.47414     0.0297801
43       6.55359     0.0303414
44       6.61773     0.0294981
45       6.68766     0.0293493
46         6.764     0.0302361
47       6.82829     0.0300476
48        6.8986     0.0301019
49       6.96588     0.0303161
50       7.03886     0.0317082
51       7.10608     0.0309023
52       7.17867     0.0311013
53       7.24426      0.030187
54       7.31161     0.0305599
55       7.37668     0.0311636
56       7.45852     0.0316375
57       7.52398     0.0321655
58       7.58661      0.032351
59       7.65537     0.0334179
60       7.70883     0.0349379
61       7.76987     0.0362725
62       7.83753     0.0365657
63       7.90439     0.0366648
64       7.97301     0.0362133
65       8.04588     0.0363682
66       8.09684      0.036123
67       8.15485     0.0358174
68       8.21327     0.0354424
69       8.27702     0.0352786
70       8.33765     0.0354495
71       8.40095     0.0355943
72       8.45735     0.0354508
73       8.51791      0.034936
74       8.57868     0.0351184
75       8.64266     0.0347872
76       8.70621     0.0361157
77       8.75928     0.0360304
78       8.81625     0.0364659
79       8.87605     0.0368334
80       8.92168     0.0362713
81       8.98807     0.0365559
82       9.04447     0.0364534
83       9.09238     0.0365949
84       9.14069     0.0365862
85       9.18714     0.0358905
86       9.24259     0.0361721
87       9.29985     0.0373694
88       9.35634     0.0375423
89       9.40547     0.0369067
90       9.45672     0.0381799
91       9.51045     0.0394189
92       9.55803     0.0390894
93       9.60926     0.0398987
94       9.65499     0.0394101
95       9.69701     0.0399149
96       9.74643     0.0399471
97       9.80621     0.0399876
98       9.85113     0.0403624
99       9.89199     0.0395919
