#step        √r^2           err
0             0             0
1             1   1.49012e-09
2       1.41779    0.00355106
3       1.73026     0.0050837
4       1.98874    0.00625074
5       2.22618    0.00715482
6       2.44507    0.00762495
7       2.64105    0.00887018
8       2.82405    0.00996313
9       2.99445     0.0109078
10       3.15439     0.0115951
11       3.31588     0.0122169
12       3.46784     0.0134358
13       3.60106     0.0140579
14       3.73691     0.0134454
15         3.873     0.0149292
16       3.99879     0.0153829
17       4.11844     0.0159584
18       4.25178     0.0177642
19       4.36981     0.0183087
20       4.49367      0.018963
21       4.60589      0.019649
22       4.71203     0.0198481
23       4.81607     0.0205491
24       4.92222     0.0205263
25        5.0275     0.0215923
26       5.10905     0.0210374
27       5.19931     0.0225299
28       5.29957     0.0230988
29       5.38973     0.0224428
30       5.48552     0.0224228
31       5.58148     0.0235544
32       5.66655     0.0235933
33       5.75321     0.0240815
34       5.84535      0.023671
35       5.94191      0.023991
36       6.02782     0.0249007
37       6.10887     0.0251191
38       6.18429     0.0250429
39       6.27643     0.0259982
40       6.34395     0.0266908
41       6.43831     0.0276384
42       6.51381     0.0282338
43       6.59145     0.0281367
44       6.67054     0.0281169
45       6.74243     0.0292309
46          6.81     0.0288952
47       6.88941     0.0296794
48       6.95315     0.0299937
49       7.01956     0.0299869
50       7.09299     0.0301214
51       7.17504      0.030702
52       7.25044     0.0305583
53       7.32729     0.0311764
54       7.40031     0.0316618
55       7.46747      0.031611
56       7.53081     0.0307011
57       7.58482     0.0299931
58       7.64956      0.029682
59       7.72377     0.0306208
60       7.78478     0.0314732
61       7.85346     0.0314672
62       7.90942     0.0304535
63        7.9799     0.0318027
64       8.04992      0.031084
65       8.09653     0.0321946
66       8.15739     0.0326355
67       8.21875     0.0322518
68       8.28308     0.0338312
69       8.34307     0.0339652
70       8.39852     0.0348019
71       8.45502     0.0345675
72       8.51718     0.0352706
73       8.58326     0.0348035
74       8.64737     0.0358418
75       8.69484     0.0367583
76        8.7445     0.0374122
77       8.80289     0.0379468
78       8.87008     0.0383201
79       8.92589     0.0377306
80       8.97997     0.0383868
81       9.03472     0.0392505
82       9.08122     0.0398033
83       9.13196     0.0403049
84       9.17795      0.040335
85       9.22726     0.0416576
86        9.2793     0.0412999
87       9.32696      0.042013
88       9.38295     0.0425988
89       9.43778     0.0435297
90        9.4931     0.0448095
91       9.55208     0.0447838
92       9.60124     0.0456669
93       9.65648     0.0459035
94        9.7061     0.0471178
95       9.75857     0.0473999
96       9.81495     0.0481642
97       9.86656     0.0477033
98       9.90969     0.0471763
99       9.95657     0.0464894
