#blocchi mean_prog err_prog
1 14.9218 0
2 15.048 0.126219
3 15.2386 0.204081
4 15.1776 0.156684
5 15.3246 0.190603
6 15.2063 0.195452
7 15.1148 0.188835
8 15.079 0.167408
9 14.9702 0.183412
10 14.8715 0.191422
11 14.8256 0.179144
12 14.8559 0.166324
13 14.8728 0.153926
14 14.893 0.143928
15 14.8976 0.134071
16 14.9485 0.135344
17 15.0088 0.140689
18 15.0444 0.13735
19 15.0158 0.133029
20 15.0035 0.126802
21 15.0329 0.124144
22 15.0317 0.118374
23 14.9889 0.120907
24 15.0182 0.1194
25 15.0669 0.124432
26 15.0891 0.121606
27 15.1058 0.118197
28 15.1048 0.113902
29 15.0915 0.110709
30 15.0752 0.108193
31 15.0857 0.105174
32 15.0597 0.105101
33 15.0619 0.101889
34 15.0648 0.098891
35 15.0811 0.0973966
36 15.1004 0.0966078
37 15.1151 0.0950914
38 15.1287 0.0935589
39 15.108 0.093462
40 15.0923 0.0924442
41 15.0915 0.0901644
42 15.0943 0.0880378
43 15.0848 0.0864963
44 15.0754 0.0850303
45 15.0438 0.0889195
46 15.026 0.0887568
47 15.0179 0.0872287
48 15.0024 0.0867901
49 15.0247 0.0878848
50 15.0379 0.0871065
51 15.0452 0.0856956
52 15.0386 0.0842882
53 15.0529 0.0839051
54 15.0424 0.0830008
55 15.0446 0.081507
56 15.0305 0.0812602
57 15.0267 0.0799136
58 15.0119 0.0799005
59 15.0046 0.0788811
60 14.9967 0.0779565
61 15.0059 0.0772258
62 14.9896 0.0776975
63 14.9859 0.0765443
64 14.9964 0.0760583
65 15.0234 0.0796098
66 15.0188 0.0785307
67 15.0335 0.0787324
68 15.0148 0.0797733
69 15.0079 0.0789125
70 14.999 0.0782833
71 15.0083 0.0777305
72 15.0189 0.0773721
73 15.0145 0.0764328
74 15.0079 0.0756817
75 15.0091 0.0746765
76 15.014 0.0738495
77 15.0294 0.0744911
78 15.0274 0.0735573
79 15.0268 0.072623
80 15.0216 0.0718938
81 15.0242 0.0710467
82 15.0133 0.0710191
83 15.0229 0.0708194
84 15.0224 0.0699735
85 15.005 0.071289
86 15.0052 0.0704555
87 15.0076 0.0696836
88 15.0113 0.0689823
89 15.0193 0.0686789
90 15.0055 0.0693179
91 14.9959 0.0692118
92 14.9992 0.0685353
93 15.0061 0.0681403
94 15.0023 0.0675174
95 14.9997 0.0668521
96 15.0088 0.0667684
97 15.0061 0.0661322
98 14.9961 0.0662127
99 14.9954 0.065544
100 14.996 0.0648878
