#blocchi mean_prog err_prog
1 5.23265 0
2 5.24805 0.0153976
3 5.33302 0.0854345
4 5.37523 0.0737
5 5.34626 0.0640201
6 5.30494 0.0666321
7 5.33055 0.0618639
8 5.39281 0.0821399
9 5.42169 0.0779837
10 5.47756 0.0893682
11 5.46145 0.0824255
12 5.49616 0.0828621
13 5.49779 0.0762395
14 5.52941 0.0773461
15 5.51701 0.0730656
16 5.50638 0.0691681
17 5.50069 0.0652206
18 5.4979 0.0615542
19 5.49932 0.058242
20 5.48856 0.0562925
21 5.47246 0.0559117
22 5.49099 0.0564395
23 5.52037 0.0614093
24 5.49792 0.0629353
25 5.49208 0.0606466
26 5.48267 0.0590229
27 5.46583 0.0592373
28 5.48446 0.0600448
29 5.46327 0.0616914
30 5.4639 0.0596029
31 5.46904 0.0578766
32 5.47989 0.0570791
33 5.48239 0.0553791
34 5.48756 0.0539739
35 5.50127 0.0541721
36 5.49892 0.0526984
37 5.49789 0.0512646
38 5.49641 0.0499193
39 5.49051 0.0489794
40 5.49839 0.048385
41 5.50786 0.0481311
42 5.50672 0.0469849
43 5.50838 0.0459092
44 5.50018 0.0455973
45 5.5068 0.0450621
46 5.51325 0.044541
47 5.50998 0.0437053
48 5.52247 0.0445696
49 5.51297 0.0446722
50 5.51199 0.0437806
51 5.50518 0.0434504
52 5.51182 0.0431202
53 5.5064 0.0426446
54 5.49883 0.0425263
55 5.49267 0.0421979
56 5.49185 0.0414456
57 5.49204 0.0407125
58 5.48651 0.0403847
59 5.49435 0.0404603
60 5.49706 0.0398725
61 5.49716 0.0392135
62 5.49794 0.0385838
63 5.49782 0.0379666
64 5.49537 0.0374485
65 5.48544 0.0381836
66 5.4773 0.0384712
67 5.47724 0.0378927
68 5.482 0.0376327
69 5.48319 0.0371023
70 5.48966 0.0371377
71 5.48961 0.036611
72 5.49273 0.0362342
73 5.49929 0.0363314
74 5.50272 0.0360006
75 5.50126 0.0355474
76 5.49632 0.0354226
77 5.49867 0.0350384
78 5.49912 0.0345891
79 5.49415 0.0345072
80 5.49219 0.0341295
81 5.49172 0.0337088
82 5.48395 0.0341895
83 5.48262 0.0338016
84 5.48035 0.0334735
85 5.48186 0.0331115
86 5.48201 0.0327246
87 5.48463 0.0324524
88 5.48162 0.0322227
89 5.47963 0.0319209
90 5.485 0.032018
91 5.49199 0.0324265
92 5.48896 0.0322148
93 5.48994 0.0318815
94 5.49032 0.0315428
95 5.48768 0.0313209
96 5.48695 0.0310015
97 5.48942 0.0307799
98 5.49119 0.0305157
99 5.49292 0.0302553
100 5.49764 0.0303206
