#           BLOCK       VELOCITY:       AVE_POFV:          ERROR:
               1        0.163299               0               0
               1        0.489898       0.0670066               0
               1        0.816497        0.131093               0
               1          1.1431        0.223615               0
               1         1.46969        0.317314               0
               1         1.79629        0.355346               0
               1         2.12289        0.368387               0
               1         2.44949        0.550852               0
               1         2.77609        0.413025               0
               1         3.10269        0.291869               0
               1         3.42929        0.162165               0
               1         3.75588       0.0931883               0
               1         4.08248       0.0461973               0
               1         4.40908       0.0221418               0
               1         4.73568       0.0124601               0
               1         5.06228      0.00276418               0
               1         5.38888               0               0
               1         5.71548               0               0
               1         6.04207               0               0
               1         6.36867               0               0
               1         6.69527               0               0
               1         7.02187               0               0
               1         7.34847               0               0
               1         7.67507               0               0
               1         8.00167               0               0
               1         8.32827               0               0
               1         8.65486               0               0
               1         8.98146               0               0
               1         9.30806               0               0
               1         9.63466               0               0
               2        0.163299               0               0
               2        0.489898       0.0929686       0.0183579
               2        0.816497        0.148876       0.0125744
               2          1.1431        0.265127       0.0293537
               2         1.46969        0.392237       0.0529789
               2         1.79629        0.423962       0.0485185
               2         2.12289        0.400948       0.0230238
               2         2.44949        0.437882       0.0798818
               2         2.77609        0.347061       0.0466441
               2         3.10269        0.237712       0.0382946
               2         3.42929        0.163661      0.00105747
               2         3.75588       0.0717624       0.0151504
               2         4.08248       0.0438229      0.00167893
               2         4.40908       0.0161315      0.00424994
               2         4.73568      0.00623004       0.0044053
               2         5.06228      0.00138209     0.000977286
               2         5.38888               0               0
               2         5.71548               0               0
               2         6.04207               0               0
               2         6.36867               0               0
               2         6.69527               0               0
               2         7.02187               0               0
               2         7.34847               0               0
               2         7.67507               0               0
               2         8.00167               0               0
               2         8.32827               0               0
               2         8.65486               0               0
               2         8.98146               0               0
               2         9.30806               0               0
               2         9.63466               0               0
               3        0.163299               0               0
               3        0.489898       0.0920827         0.01226
               3        0.816497        0.205764       0.0471991
               3          1.1431        0.290849       0.0287054
               3         1.46969        0.446342       0.0565597
               3         1.79629        0.440601       0.0350831
               3         2.12289        0.380158       0.0228858
               3         2.44949        0.394588       0.0639188
               3         2.77609        0.318911       0.0386683
               3         3.10269        0.198662        0.040846
               3         3.42929        0.147338       0.0133462
               3         3.75588       0.0705079       0.0101521
               3         4.08248       0.0437355      0.00112156
               3         4.40908        0.013561      0.00352596
               3         4.73568      0.00415336       0.0033912
               3         5.06228     0.000921394     0.000752315
               3         5.38888               0               0
               3         5.71548               0               0
               3         6.04207               0               0
               3         6.36867               0               0
               3         6.69527               0               0
               3         7.02187               0               0
               3         7.34847               0               0
               3         7.67507               0               0
               3         8.00167               0               0
               3         8.32827               0               0
               3         8.65486               0               0
               3         8.98146               0               0
               3         9.30806               0               0
               3         9.63466               0               0
               4        0.163299               0               0
               4        0.489898       0.0896693      0.00942953
               4        0.816497        0.219143       0.0372473
               4          1.1431        0.320096       0.0332422
               4         1.46969        0.474851       0.0490816
               4         1.79629        0.433657       0.0269907
               4         2.12289        0.390068       0.0191907
               4         2.44949        0.374263       0.0510684
               4         2.77609        0.310389       0.0299255
               4         3.10269        0.184778       0.0329095
               4         3.42929         0.13648       0.0137339
               4         3.75588       0.0677012      0.00799264
               4         4.08248       0.0344778      0.00806136
               4         4.40908       0.0101708       0.0039514
               4         4.73568      0.00311502      0.00269769
               4         5.06228     0.000691045     0.000598463
               4         5.38888               0               0
               4         5.71548               0               0
               4         6.04207               0               0
               4         6.36867               0               0
               4         6.69527               0               0
               4         7.02187               0               0
               4         7.34847               0               0
               4         7.67507               0               0
               4         8.00167               0               0
               4         8.32827               0               0
               4         8.65486               0               0
               4         8.98146               0               0
               4         9.30806               0               0
               4         9.63466               0               0
               5        0.163299               0               0
               5        0.489898       0.0865118      0.00805495
               5        0.816497        0.210767       0.0307252
               5          1.1431        0.335818        0.030083
               5         1.46969         0.49529       0.0433125
               5         1.79629        0.460686       0.0324137
               5         2.12289        0.388491       0.0154173
               5         2.44949        0.359627       0.0429008
               5         2.77609        0.294614       0.0277892
               5         3.10269        0.188103        0.026495
               5         3.42929        0.126529       0.0141398
               5         3.75588       0.0629695      0.00766785
               5         4.08248       0.0292946      0.00794249
               5         4.40908      0.00813662      0.00364732
               5         4.73568      0.00249202      0.00222893
               5         5.06228     0.000552836     0.000494472
               5         5.38888               0               0
               5         5.71548               0               0
               5         6.04207               0               0
               5         6.36867               0               0
               5         6.69527               0               0
               5         7.02187               0               0
               5         7.34847               0               0
               5         7.67507               0               0
               5         8.00167               0               0
               5         8.32827               0               0
               5         8.65486               0               0
               5         8.98146               0               0
               5         9.30806               0               0
               5         9.63466               0               0
               6        0.163299               0               0
               6        0.489898       0.0833153      0.00731929
               6        0.816497        0.206713       0.0258703
               6          1.1431        0.353128       0.0296335
               6         1.46969        0.512011       0.0391888
               6         1.79629        0.475007       0.0300089
               6         2.12289        0.383423       0.0136554
               6         2.44949        0.345338       0.0380559
               6         2.77609        0.292174       0.0232645
               6         3.10269        0.182344       0.0226966
               6         3.42929        0.120455       0.0130227
               6         3.75588        0.060493      0.00677798
               6         4.08248       0.0248209      0.00777729
               6         4.40908      0.00678051      0.00328187
               6         4.73568      0.00207668      0.00189574
               6         5.06228     0.000460697     0.000420557
               6         5.38888               0               0
               6         5.71548               0               0
               6         6.04207               0               0
               6         6.36867               0               0
               6         6.69527               0               0
               6         7.02187               0               0
               6         7.34847               0               0
               6         7.67507               0               0
               6         8.00167               0               0
               6         8.32827               0               0
               6         8.65486               0               0
               6         8.98146               0               0
               6         9.30806               0               0
               6         9.63466               0               0
               7        0.163299               0               0
               7        0.489898       0.0854405      0.00657499
               7        0.816497        0.222155       0.0263835
               7          1.1431        0.366411       0.0282207
               7         1.46969        0.524145       0.0354191
               7         1.79629        0.473926       0.0257413
               7         2.12289        0.365905       0.0200009
               7         2.44949         0.33347       0.0344204
               7         2.77609         0.28986       0.0200557
               7         3.10269        0.180093       0.0195655
               7         3.42929         0.11403       0.0126481
               7         3.75588       0.0596597       0.0058607
               7         4.08248       0.0247561      0.00666652
               7         4.40908      0.00623713      0.00285766
               7         4.73568      0.00178001      0.00164797
               7         5.06228     0.000394883     0.000365591
               7         5.38888               0               0
               7         5.71548               0               0
               7         6.04207               0               0
               7         6.36867               0               0
               7         6.69527               0               0
               7         7.02187               0               0
               7         7.34847               0               0
               7         7.67507               0               0
               7         8.00167               0               0
               7         8.32827               0               0
               7         8.65486               0               0
               7         8.98146               0               0
               7         9.30806               0               0
               7         9.63466               0               0
               8        0.163299               0               0
               8        0.489898       0.0874119      0.00604143
               8        0.816497        0.228188       0.0237654
               8          1.1431         0.36675       0.0246951
               8         1.46969        0.523858       0.0309929
               8         1.79629        0.475046        0.022548
               8         2.12289        0.379836       0.0218195
               8         2.44949        0.322405       0.0318468
               8         2.77609        0.282987       0.0186896
               8         3.10269        0.178612       0.0171757
               8         3.42929         0.11361        0.011074
               8         3.75588       0.0562493      0.00603943
               8         4.08248       0.0237808      0.00590412
               8         4.40908      0.00561164      0.00256799
               8         4.73568      0.00155751      0.00145692
               8         5.06228     0.000345523     0.000323207
               8         5.38888               0               0
               8         5.71548               0               0
               8         6.04207               0               0
               8         6.36867               0               0
               8         6.69527               0               0
               8         7.02187               0               0
               8         7.34847               0               0
               8         7.67507               0               0
               8         8.00167               0               0
               8         8.32827               0               0
               8         8.65486               0               0
               8         8.98146               0               0
               8         9.30806               0               0
               8         9.63466               0               0
               9        0.163299               0               0
               9        0.489898       0.0968487       0.0103922
               9        0.816497        0.237557       0.0228972
               9          1.1431        0.370107       0.0221782
               9         1.46969        0.509728       0.0306015
               9         1.79629        0.482895       0.0213653
               9         2.12289        0.387168       0.0205903
               9         2.44949        0.319331       0.0284561
               9         2.77609        0.277736       0.0173347
               9         3.10269        0.168806       0.0178486
               9         3.42929        0.107501       0.0114048
               9         3.75588       0.0547922      0.00554136
               9         4.08248       0.0224836      0.00538873
               9         4.40908      0.00863433       0.0036513
               9         4.73568      0.00166481      0.00129898
               9         5.06228      0.00183176      0.00143039
               9         5.38888     0.000184279      0.00017374
               9         5.71548               0               0
               9         6.04207               0               0
               9         6.36867               0               0
               9         6.69527               0               0
               9         7.02187               0               0
               9         7.34847               0               0
               9         7.67507               0               0
               9         8.00167               0               0
               9         8.32827               0               0
               9         8.65486               0               0
               9         8.98146               0               0
               9         9.30806               0               0
               9         9.63466               0               0
              10        0.163299               0               0
              10        0.489898       0.0987125       0.0095186
              10        0.816497        0.246507       0.0222879
              10          1.1431        0.373454       0.0202113
              10         1.46969        0.510162       0.0275444
              10         1.79629        0.489149       0.0201234
              10         2.12289        0.382339       0.0190893
              10         2.44949        0.319665       0.0256125
              10         2.77609        0.274587       0.0158848
              10         3.10269        0.162031       0.0173019
              10         3.42929        0.104964       0.0105427
              10         3.75588       0.0523366       0.0055045
              10         4.08248       0.0204975      0.00520301
              10         4.40908      0.00779499      0.00338126
              10         4.73568      0.00225529      0.00129636
              10         5.06228       0.0033638      0.00194157
              10         5.38888     0.000480542     0.000321629
              10         5.71548               0               0
              10         6.04207               0               0
              10         6.36867               0               0
              10         6.69527               0               0
              10         7.02187               0               0
              10         7.34847               0               0
              10         7.67507               0               0
