#          BLOCK:       ACTUAL_P:          P_AVE:          ERROR:
               1       0.0702981       0.0702981               0
               2       0.0600866       0.0651923      0.00361031
               3       0.0575295        0.062638      0.00318474
               4       0.0551571       0.0607678      0.00288592
               5       0.0582502       0.0602643      0.00235225
               6       0.0574785          0.0598      0.00200551
               7        0.054771       0.0590816       0.0018432
               8        0.056511       0.0587602      0.00164057
               9       0.0578178       0.0586555      0.00146162
              10       0.0570249       0.0584925      0.00132453
              11       0.0578471       0.0584338      0.00120541
              12       0.0566483        0.058285      0.00111411
              13         0.05237         0.05783      0.00111746
              14       0.0533861       0.0575126      0.00108179
              15       0.0563616       0.0574358      0.00101238
              16       0.0567147       0.0573908     0.000950114
              17       0.0526622       0.0571126     0.000934053
              18       0.0572904       0.0571225     0.000882214
              19       0.0548131       0.0570009     0.000844113
              20       0.0571574       0.0570088     0.000801943
