#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
               1         1.59077         1.59077               0
               2          1.5907         1.59073     2.51316e-05
               3         1.59063          1.5907     3.35378e-05
               4         1.59055         1.59066     3.98053e-05
               5         1.59048         1.59063     4.50734e-05
               6         1.59041         1.59059     4.97315e-05
               7         1.59034         1.59055     5.39657e-05
               8         1.59027         1.59052     5.78821e-05
               9          1.5902         1.59048      6.1548e-05
              10         1.59012         1.59045     6.50097e-05
              11         1.59005         1.59041     6.83004e-05
              12         1.58998         1.59037     7.14452e-05
              13         1.58991         1.59034     7.44635e-05
              14         1.58983          1.5903     7.73707e-05
              15         1.58976         1.59027     8.01792e-05
              16         1.58969         1.59023     8.28993e-05
              17         1.58955         1.59019     8.71021e-05
              18         1.58948         1.59015     9.07938e-05
              19         1.58941         1.59011     9.41056e-05
              20         1.58927         1.59007     9.83908e-05
              21         1.58918         1.59003     0.000102356
              22         1.58911         1.58999     0.000105857
              23         1.58904         1.58994     0.000109001
              24         1.58896          1.5899     0.000111866
              25         1.58889         1.58986     0.000114508
              26          1.5888         1.58982     0.000117154
              27         1.58873         1.58978     0.000119618
              28         1.58865         1.58974     0.000121934
              29         1.58858          1.5897     0.000124126
              30         1.58851         1.58966     0.000126214
              31         1.58843         1.58962     0.000128214
              32         1.58836         1.58958     0.000130138
              33         1.58829         1.58954     0.000131996
              34         1.58821          1.5895     0.000133797
              35         1.58814         1.58946     0.000135547
              36         1.58806         1.58943     0.000137253
              37         1.58799         1.58939     0.000138917
              38         1.58792         1.58935     0.000140545
              39         1.58784         1.58931     0.000142139
              40         1.58777         1.58927     0.000143701
              41          1.5877         1.58923     0.000145234
              42         1.58762         1.58919     0.000146739
              43         1.58755         1.58916     0.000148218
              44         1.58748         1.58912     0.000149671
              45         1.58741         1.58908       0.0001511
              46         1.58734         1.58904     0.000152505
              47         1.58726           1.589     0.000153886
              48         1.58719         1.58897     0.000155243
              49         1.58712         1.58893     0.000156578
              50         1.58705         1.58889     0.000157889
              51         1.58698         1.58885     0.000159176
              52         1.58691         1.58882      0.00016044
              53         1.58684         1.58878      0.00016168
              54         1.58677         1.58874     0.000162896
              55         1.58671         1.58871     0.000164086
              56         1.58664         1.58867     0.000165251
              57          1.5866         1.58863     0.000166292
              58         1.58654          1.5886     0.000167279
              59         1.58648         1.58856     0.000168249
              60         1.58642         1.58852       0.0001692
