#          BLOCK:      ACTUAL_KE:         KE_AVE:          ERROR:
               1         2.13663         2.13663               0
               2          2.1365         2.13657     4.49336e-05
               3         2.13638          2.1365     5.80678e-05
               4         2.13627         2.13645     6.71587e-05
               5         2.13616         2.13639     7.46139e-05
               6         2.13604         2.13633     8.13704e-05
               7         2.13593         2.13627     8.79526e-05
               8          2.1358         2.13621     9.47181e-05
               9         2.13566         2.13615     0.000101942
              10         2.13552         2.13609     0.000109851
              11         2.13535         2.13602      0.00011864
              12         2.13516         2.13595     0.000128482
              13         2.13496         2.13587     0.000139527
              14         2.13472         2.13579      0.00015191
              15         2.13446          2.1357     0.000165747
              16         2.13416         2.13561     0.000181135
              17         2.13384          2.1355     0.000198156
              18         2.13347         2.13539     0.000216876
              19         2.13307         2.13527      0.00023734
              20         2.13263         2.13514     0.000259582
              21         2.13214         2.13499     0.000283617
              22         2.13162         2.13484     0.000309443
              23         2.13105         2.13467     0.000337046
              24         2.13043          2.1345     0.000366393
              25         2.12978         2.13431     0.000397435
              26         2.12908         2.13411     0.000430109
              27         2.12833         2.13389     0.000464334
              28         2.12755         2.13367     0.000500013
              29         2.12672         2.13343     0.000537035
              30         2.12586         2.13318      0.00057527
              31         2.12497         2.13291     0.000614576
              32         2.12405         2.13263     0.000654793
              33          2.1231         2.13235     0.000695748
              34         2.12213         2.13205     0.000737255
              35         2.12115         2.13173     0.000779114
              36         2.12016         2.13141     0.000821116
              37         2.11917         2.13108     0.000863042
              38         2.11818         2.13074     0.000904663
              39          2.1172         2.13039     0.000945747
              40         2.11624         2.13004     0.000986057
              41         2.11531         2.12968      0.00102535
              42         2.11442         2.12932       0.0010634
              43         2.11357         2.12895      0.00109997
              44         2.11276         2.12858      0.00113483
              45         2.11202         2.12822      0.00116777
              46         2.11135         2.12785      0.00119857
              47         2.11075         2.12749      0.00122706
              48         2.11023         2.12713      0.00125306
              49          2.1098         2.12677      0.00127641
              50         2.10946         2.12643        0.001297
              51         2.10922         2.12609      0.00131471
              52         2.10908         2.12576      0.00132948
              53         2.10905         2.12545      0.00134124
              54         2.10913         2.12514      0.00134999
              55         2.10932         2.12486      0.00135574
              56         2.10963         2.12458      0.00135854
              57         2.11004         2.12433      0.00135846
              58         2.11056         2.12409      0.00135561
              59          2.1112         2.12387      0.00135014
              60         2.11194         2.12367      0.00134222
              61         2.11278          2.1235      0.00133205
              62         2.11372         2.12334      0.00131987
              63         2.11475          2.1232      0.00130594
              64         2.11587         2.12309      0.00129056
              65         2.11707         2.12299      0.00127402
              66         2.11835         2.12292      0.00125666
              67         2.11969         2.12288      0.00123883
              68          2.1211         2.12285      0.00122089
              69         2.12256         2.12285       0.0012032
              70         2.12407         2.12286      0.00118614
              71         2.12561          2.1229      0.00117006
              72         2.12719         2.12296      0.00115533
              73          2.1288         2.12304      0.00114227
              74         2.13043         2.12314      0.00113118
              75         2.13206         2.12326      0.00112234
              76         2.13371          2.1234      0.00111596
              77         2.13535         2.12355      0.00111222
              78         2.13699         2.12373      0.00111123
              79         2.13863         2.12391      0.00111305
              80         2.14024         2.12412       0.0011177
              81         2.14184         2.12434      0.00112512
              82         2.14342         2.12457      0.00113521
              83         2.14497         2.12482      0.00114784
              84          2.1465         2.12507      0.00116283
              85         2.14799         2.12534      0.00117998
              86         2.14945         2.12562       0.0011991
              87         2.15088         2.12591      0.00121994
              88         2.15227         2.12621      0.00124229
              89         2.15362         2.12652      0.00126592
