#          BLOCK:       ACTUAL_T:          T_AVE:          ERROR:
               1         1.28422         1.28422               0
               2         1.28402         1.28412     7.34507e-05
               3         1.28381         1.28402     9.82719e-05
               4          1.2836         1.28391     0.000116874
               5         1.28339         1.28381     0.000132538
               6         1.28317          1.2837     0.000146374
               7         1.28296          1.2836     0.000158903
               8         1.28275         1.28349     0.000170418
               9         1.28254         1.28338     0.000181103
              10         1.28233         1.28328     0.000191079
              11         1.28213         1.28317     0.000200433
              12         1.28192         1.28307     0.000209228
              13         1.28172         1.28297     0.000217514
              14         1.28151         1.28286     0.000225328
              15         1.28132         1.28276     0.000232701
              16         1.28112         1.28266      0.00023966
              17         1.28093         1.28256     0.000246224
              18         1.28074         1.28245     0.000252414
              19         1.28055         1.28235     0.000258243
              20         1.28037         1.28225     0.000263727
              21         1.28019         1.28216     0.000268879
              22         1.28001         1.28206      0.00027371
              23         1.27984         1.28196     0.000278232
              24         1.27968         1.28187     0.000282455
              25         1.27952         1.28177     0.000286389
              26         1.27936         1.28168     0.000290044
              27         1.27921         1.28159     0.000293429
              28         1.27906          1.2815     0.000296555
              29         1.27891         1.28141      0.00029943
              30         1.27877         1.28132     0.000302064
              31         1.27864         1.28123     0.000304467
              32         1.27851         1.28115     0.000306647
              33         1.27838         1.28107     0.000308615
              34         1.27826         1.28098      0.00031038
              35         1.27814          1.2809     0.000311951
              36         1.27803         1.28082     0.000313339
              37         1.27792         1.28074     0.000314553
              38         1.27781         1.28067     0.000315603
              39         1.27771         1.28059     0.000316501
              40         1.27761         1.28052     0.000317256
              41         1.27751         1.28044     0.000317878
              42         1.27741         1.28037     0.000318379
              43         1.27732          1.2803      0.00031877
              44         1.27723         1.28023     0.000319061
              45         1.27714         1.28016     0.000319265
              46         1.27705         1.28009     0.000319392
              47         1.27697         1.28003     0.000319456
              48         1.27688         1.27996     0.000319468
              49         1.27679          1.2799     0.000319442
              50          1.2767         1.27983     0.000319389
              51         1.27661         1.27977     0.000319325
              52         1.27651         1.27971     0.000319262
              53         1.27642         1.27965     0.000319215
              54         1.27632         1.27958     0.000319201
              55         1.27621         1.27952     0.000319234
              56          1.2761         1.27946     0.000319333
              57         1.27598          1.2794     0.000319513
              58         1.27586         1.27934     0.000319795
              59         1.27572         1.27928     0.000320199
              60         1.27558         1.27922     0.000320745
              61         1.27542         1.27915     0.000321458
              62         1.27526         1.27909      0.00032236
              63         1.27508         1.27903     0.000323479
              64         1.27488         1.27896     0.000324844
              65         1.27467          1.2789     0.000326483
              66         1.27444         1.27883     0.000328431
              67          1.2742         1.27876     0.000330723
              68         1.27393         1.27869     0.000333395
              69         1.27364         1.27862     0.000336489
              70         1.27333         1.27854     0.000340047
              71         1.27299         1.27846     0.000344113
              72         1.27263         1.27838     0.000348735
              73         1.27224          1.2783     0.000353963
              74         1.27182         1.27821     0.000359846
              75         1.27136         1.27812     0.000366436
              76         1.27088         1.27802     0.000373787
              77         1.27036         1.27792     0.000381948
              78         1.26981         1.27782     0.000390972
              79         1.26921         1.27771     0.000400907
              80         1.26859          1.2776     0.000411799
              81         1.26792         1.27748     0.000423691
              82         1.26721         1.27735      0.00043662
              83         1.26647         1.27722     0.000450619
              84         1.26568         1.27708     0.000465712
              85         1.26486         1.27694     0.000481918
              86           1.264         1.27679     0.000499246
              87          1.2631         1.27663     0.000517697
