#blocchi mean_prog err_prog
1 1.48526 0
2 1.47638 0.00887259
3 1.5102 0.0341982
4 1.50399 0.0249645
5 1.51124 0.0206525
6 1.50156 0.0194458
7 1.49573 0.0174365
8 1.48993 0.0161787
9 1.48931 0.0142817
10 1.48597 0.0132028
11 1.4941 0.0144496
12 1.49209 0.0133433
13 1.49114 0.012311
14 1.48998 0.011457
15 1.49105 0.0107201
16 1.49286 0.0101885
17 1.48975 0.0100627
18 1.49011 0.00949414
19 1.49174 0.00912677
20 1.49254 0.008696
21 1.49447 0.00849382
22 1.49207 0.00844799
23 1.49208 0.00807235
24 1.4929 0.00777206
25 1.49578 0.00799115
26 1.49747 0.0078619
27 1.49789 0.00757666
28 1.49888 0.00736756
29 1.49825 0.00713665
30 1.49779 0.00691
31 1.49588 0.00695076
32 1.49622 0.00673847
33 1.49868 0.0069802
34 1.49665 0.00706955
35 1.49734 0.00689906
36 1.49712 0.00670818
37 1.49735 0.00652824
38 1.49688 0.00637168
39 1.49599 0.00626911
40 1.49676 0.00615887
41 1.49657 0.00600986
42 1.49654 0.00586511
43 1.49605 0.0057483
44 1.49609 0.00561629
45 1.49713 0.00558768
46 1.49788 0.0055163
47 1.49697 0.00547285
48 1.49564 0.00552138
49 1.49517 0.00542784
50 1.49541 0.00532365
51 1.49595 0.0052455
52 1.49552 0.00516098
53 1.49467 0.00513448
54 1.49558 0.00512082
55 1.49507 0.0050525
56 1.49568 0.00499816
57 1.4976 0.00527312
58 1.49672 0.00525564
59 1.4954 0.00533189
60 1.49512 0.00524981
61 1.49572 0.00519773
62 1.49572 0.00511321
63 1.49558 0.00503348
64 1.49664 0.00506676
65 1.49687 0.00499357
66 1.49652 0.0049296
67 1.49678 0.00486234
68 1.4963 0.00481459
69 1.49572 0.00477931
70 1.49626 0.00474108
71 1.49685 0.0047109
72 1.49733 0.0046697
73 1.49785 0.00463464
74 1.4984 0.00460475
75 1.49809 0.00455331
76 1.49813 0.00449314
77 1.49766 0.0044589
78 1.49835 0.00445496
79 1.49888 0.00442935
80 1.49849 0.00439061
81 1.49905 0.00437194
82 1.49974 0.00437276
83 1.50043 0.00437453
84 1.49966 0.00438902
85 1.49964 0.00433715
86 1.49928 0.00430156
87 1.4994 0.00425353
88 1.49995 0.00424139
89 1.50001 0.00419381
90 1.50045 0.00417054
91 1.49968 0.0041951
92 1.50001 0.00416177
93 1.49981 0.00412151
94 1.49961 0.00408247
95 1.49929 0.00405147
96 1.49815 0.00416941
97 1.49796 0.00413033
98 1.49859 0.0041358
99 1.4984 0.00409818
100 1.49814 0.00406498
