#blocchi mean_prog err_prog
1 5.03713 0
2 4.90855 0.128579
3 4.97507 0.0996757
4 4.97415 0.0704873
5 4.99221 0.0575083
6 4.98572 0.0474013
7 4.99195 0.0405416
8 5.0007 0.0361842
9 5.02557 0.0404625
10 5.03545 0.0375152
11 5.02045 0.0371035
12 5.01846 0.0339288
13 5.00114 0.0356936
14 5.01797 0.037082
15 5.02285 0.0348643
16 5.01739 0.0330652
17 5.01414 0.0312289
18 5.00722 0.0302453
19 5.01114 0.0288756
20 5.01423 0.0275677
21 5.01941 0.0267288
22 5.01874 0.0254937
23 5.018 0.0243711
24 5.01797 0.0233336
25 5.01399 0.0227319
26 5.00667 0.0230322
27 5.0059 0.0221762
28 5.00768 0.0214429
29 5.00314 0.0211824
30 5.0005 0.0206326
31 4.99741 0.0201952
32 5.00065 0.0198212
33 4.99983 0.0192285
34 5.00136 0.0187165
35 5.00033 0.0182032
36 5.00124 0.0177139
37 5.00663 0.0180529
38 5.00825 0.0176454
39 5.00956 0.0172373
40 5.01105 0.0168662
41 5.01291 0.0165552
42 5.01141 0.0162258
43 5.00978 0.0159276
44 5.00888 0.0155878
45 5.0085 0.0152421
46 5.0049 0.0153352
47 5.00681 0.0151263
48 5.00556 0.0148603
49 5.00447 0.0145949
50 5.00172 0.0145613
51 5.0017 0.014273
52 5.00163 0.013996
53 5.0011 0.0137393
54 4.99757 0.0139373
55 4.99627 0.0137439
56 5.00041 0.0141194
57 5.00017 0.0138717
58 5.00199 0.0137523
59 4.99998 0.0136667
60 4.99896 0.0134754
61 4.99884 0.0132532
62 5.00048 0.0131405
63 5.00076 0.0129333
64 4.99939 0.0128035
65 4.99793 0.0126891
66 4.99799 0.0124955
67 4.9966 0.0123868
68 4.99815 0.0123015
69 4.99634 0.0122558
70 4.99701 0.0120981
71 4.99564 0.0120056
72 4.9965 0.0118688
73 4.99814 0.0118191
74 4.99876 0.0116751
75 4.99761 0.0115755
76 4.99873 0.0114762
77 4.99919 0.0113357
78 4.99921 0.0111894
79 4.99887 0.0110521
80 4.99929 0.0109211
81 5.00002 0.0108102
82 4.99813 0.0108442
83 4.99797 0.0107139
84 5.00006 0.0107894
85 4.99822 0.0108189
86 4.99619 0.0108841
87 4.99565 0.0107716
88 4.99304 0.0109639
89 4.99455 0.0109453
90 4.99511 0.0108373
91 4.99528 0.0107188
92 4.99473 0.0106161
93 4.99407 0.0105218
94 4.99334 0.0104351
95 4.99225 0.0103815
96 4.99148 0.0103017
97 4.99327 0.0103513
98 4.99274 0.010259
99 4.99245 0.010159
100 4.99212 0.0100621
