# Block  acceptance
0      0.5189
1      0.4882
2      0.5126
3      0.5087
4      0.5205
5      0.5153
6      0.5225
7       0.535
8       0.511
9      0.5091
10      0.5147
11      0.5183
12       0.498
13      0.5175
14      0.5276
15      0.5233
16       0.512
17      0.5282
18      0.5206
19      0.5166
20      0.5201
21      0.5239
22      0.5231
23      0.5179
24      0.5246
25      0.5084
26      0.5164
27      0.5188
28      0.5061
29      0.5193
30      0.5029
31      0.5178
32      0.5136
33      0.5155
34       0.519
35      0.5137
36      0.5286
37      0.5188
38      0.5149
39      0.5102
40      0.5209
41      0.5061
42      0.5175
43      0.5269
44      0.5182
45      0.5139
46       0.509
47      0.5151
48      0.5163
49      0.5161
50      0.5194
51      0.5227
52      0.5043
53      0.5204
54      0.5142
55      0.5235
56      0.5228
57      0.5078
58      0.5117
59       0.515
60      0.5132
61      0.5242
62      0.5116
63      0.5076
64      0.5123
65       0.501
66      0.5216
67      0.5205
68      0.5173
69      0.5034
70       0.519
71      0.5104
72      0.5126
73       0.523
74      0.5105
75      0.5106
76      0.5089
77      0.5202
78      0.5104
79      0.5148
80      0.5321
81      0.5046
82      0.5163
83      0.5201
84      0.5092
85      0.5079
86      0.5174
87       0.508
88      0.5291
89      0.5332
90      0.5111
91      0.5129
92      0.5272
93      0.5049
94      0.5142
95      0.5169
96      0.5136
97      0.5116
98      0.5066
99      0.5156
