#T:     ACCEPTANCE:
0.5       0.0155513
0.5       0.0150486
0.5       0.0148529
0.5       0.0141371
0.5        0.013785
0.5       0.0139634
0.5       0.0139442
0.5       0.0139068
0.5       0.0137606
0.5       0.0138559
0.5       0.0138103
0.5        0.013784
0.5       0.0138003
0.5       0.0137581
0.5        0.013706
0.5       0.0137181
0.5       0.0135545
0.5       0.0136167
0.5       0.0136034
0.5       0.0136193
0.52        0.018484
0.52       0.0176023
0.52       0.0180848
0.52        0.017923
0.52       0.0180129
0.52       0.0182094
0.52       0.0183997
0.52       0.0181654
0.52       0.0182043
0.52       0.0181055
0.52       0.0179656
0.52       0.0182212
0.52       0.0182671
0.52       0.0183542
0.52       0.0184292
0.52       0.0184608
0.52       0.0184282
0.52       0.0184918
0.52       0.0185237
0.52       0.0185038
0.54       0.0228388
0.54        0.023313
0.54       0.0236464
0.54       0.0240178
0.54       0.0238402
0.54        0.024073
0.54       0.0244299
0.54       0.0244604
0.54       0.0244157
0.54       0.0244734
0.54       0.0245593
0.54        0.024832
0.54        0.024708
0.54       0.0247077
0.54        0.024478
0.54       0.0246387
0.54       0.0245925
0.54       0.0244244
0.54       0.0244249
0.54       0.0244153
0.56       0.0332043
0.56        0.031919
0.56       0.0316616
0.56       0.0315721
0.56       0.0317332
0.56       0.0316283
0.56       0.0314865
0.56       0.0314401
0.56       0.0313189
0.56       0.0313298
0.56       0.0313936
0.56       0.0314696
0.56       0.0315229
0.56       0.0314107
0.56       0.0315989
0.56       0.0316462
0.56       0.0317881
0.56       0.0318391
0.56       0.0316976
0.56       0.0316134
0.58       0.0401192
0.58       0.0396585
0.58       0.0397809
0.58       0.0393661
0.58        0.039193
0.58       0.0394121
0.58       0.0397774
0.58       0.0397491
0.58        0.039949
0.58       0.0396723
0.58       0.0395667
0.58       0.0391482
0.58       0.0392067
0.58       0.0389286
0.58       0.0389381
0.58       0.0390174
0.58       0.0390389
0.58       0.0391381
0.58       0.0390914
0.58       0.0390988
0.6       0.0482498
0.6       0.0458518
0.6       0.0458536
0.6       0.0457511
0.6       0.0460397
0.6       0.0460663
0.6       0.0465923
0.6       0.0468404
0.6         0.04684
0.6       0.0467169
