#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
             0.5               1        0.924737        0.924737               0
             0.5               2        0.869373        0.897055       0.0195739
             0.5               3        0.930324        0.908144        0.015883
             0.5               4        0.913969        0.909601       0.0119788
             0.5               5        0.887829        0.905246       0.0103442
             0.5               6        0.900227         0.90441      0.00865394
             0.5               7        0.882778        0.901319      0.00795029
             0.5               8        0.839005         0.89353       0.0100738
             0.5               9        0.845565        0.888201        0.010268
             0.5              10        0.910505        0.890431      0.00948031
             0.5              11        0.915877        0.892744      0.00889623
             0.5              12        0.905068        0.893771      0.00821393
             0.5              13        0.839907        0.889628      0.00856361
             0.5              14        0.897841        0.890215      0.00797199
             0.5              15        0.789302        0.883487      0.00987946
             0.5              16        0.894962        0.884204      0.00928799
             0.5              17        0.897756        0.885001      0.00877578
             0.5              18         0.86773        0.884042      0.00834053
             0.5              19        0.866992        0.883145      0.00794968
             0.5              20        0.868189        0.882397      0.00758729
            0.52               1         0.89107         0.89107               0
            0.52               2        0.903682        0.897376      0.00445888
            0.52               3        0.875229        0.889994      0.00672071
            0.52               4        0.887627        0.889402      0.00506652
            0.52               5         0.81321        0.874163       0.0142196
            0.52               6        0.757161        0.854663       0.0213846
            0.52               7        0.854801        0.854683       0.0183296
            0.52               8        0.871722        0.856813       0.0161617
            0.52               9        0.732661        0.843018       0.0193786
            0.52              10        0.838221        0.842538       0.0174467
            0.52              11        0.818826        0.840383       0.0159932
            0.52              12        0.830311        0.839543       0.0146825
            0.52              13        0.839038        0.839504       0.0135531
            0.52              14        0.867816        0.841527        0.012735
            0.52              15        0.860387        0.842784       0.0119479
            0.52              16        0.866825        0.844287       0.0112952
            0.52              17        0.833762        0.843668       0.0106478
            0.52              18        0.823146        0.842527       0.0101171
            0.52              19        0.899773         0.84554       0.0100232
            0.52              20        0.833902        0.844958      0.00953892
            0.54               1        0.814431        0.814431               0
            0.54               2        0.820428         0.81743      0.00212049
            0.54               3        0.749656        0.794839       0.0184996
            0.54               4        0.814727        0.799811       0.0145275
            0.54               5        0.840999        0.808048       0.0137607
            0.54               6        0.880632        0.820146       0.0159202
            0.54               7        0.863764        0.826377       0.0148152
            0.54               8        0.806199        0.823854       0.0131763
            0.54               9        0.838654        0.825499       0.0118144
            0.54              10        0.777033        0.820652       0.0115845
            0.54              11        0.812479        0.819909       0.0105552
            0.54              12        0.843694        0.821891       0.0098599
            0.54              13        0.813746        0.821265      0.00912133
            0.54              14        0.768794        0.817517      0.00920766
            0.54              15        0.823723        0.817931       0.0086031
            0.54              16        0.775511        0.815279      0.00846408
            0.54              17        0.780997        0.813263       0.0082029
            0.54              18         0.88297        0.817135      0.00861296
            0.54              19        0.781528        0.815261      0.00836105
            0.54              20        0.844342        0.816715      0.00806844
            0.56               1        0.803839        0.803839               0
            0.56               2          0.7056        0.754719       0.0347325
            0.56               3        0.795266        0.768235       0.0256502
            0.56               4        0.791805        0.774127        0.019903
            0.56               5        0.698655        0.759033       0.0208758
            0.56               6        0.805761        0.766821       0.0187931
            0.56               7        0.816311        0.773891       0.0173875
            0.56               8        0.761108        0.772293       0.0152873
            0.56               9        0.753885        0.770248       0.0137248
