#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
             0.5               1        0.858369        0.858369               0
             0.5               2        0.891649        0.875009       0.0117661
             0.5               3        0.902723        0.884247       0.0108824
             0.5               4        0.925558        0.894575       0.0121084
             0.5               5        0.914079        0.898476       0.0102959
             0.5               6        0.871942        0.894053      0.00948219
             0.5               7        0.898648         0.89471      0.00815028
             0.5               8         0.88366        0.893329      0.00724759
             0.5               9         0.92455        0.896798      0.00722501
             0.5              10        0.882299        0.895348      0.00664639
             0.5              11        0.868052        0.892866      0.00648887
             0.5              12        0.896323        0.893154      0.00595452
             0.5              13        0.887175        0.892695      0.00551422
             0.5              14        0.916037        0.894362      0.00536649
             0.5              15        0.887778        0.893923      0.00502664
             0.5              16        0.878722        0.892973      0.00480143
             0.5              17        0.933851        0.895377       0.0050856
             0.5              18        0.883192          0.8947      0.00484791
             0.5              19        0.845356        0.892103      0.00524245
             0.5              20        0.896825        0.892339      0.00498564
            0.52               1        0.858491        0.858491               0
            0.52               2        0.896178        0.877334       0.0133244
            0.52               3        0.815116        0.856595       0.0191221
            0.52               4        0.862296         0.85802       0.0143946
            0.52               5        0.875808        0.861578       0.0119472
            0.52               6         0.83038        0.856378       0.0110296
            0.52               7        0.882601        0.860124         0.01007
            0.52               8        0.909572        0.866305       0.0105388
            0.52               9        0.813001        0.860383       0.0109058
            0.52              10        0.878659         0.86221      0.00996718
            0.52              11        0.894795        0.865172      0.00949105
            0.52              12        0.841127        0.863169      0.00890915
            0.52              13        0.857751        0.862752      0.00823357
            0.52              14        0.840788        0.861183       0.0077935
            0.52              15        0.854709        0.860751      0.00728587
            0.52              16        0.859957        0.860702      0.00683067
            0.52              17        0.876598        0.861637      0.00649256
            0.52              18        0.835903        0.860207      0.00628729
            0.52              19        0.859501         0.86017      0.00595649
            0.52              20        0.832447        0.858784      0.00581772
            0.54               1        0.830888        0.830888               0
            0.54               2        0.824923        0.827905      0.00210883
            0.54               3        0.809429        0.821747      0.00522146
            0.54               4        0.826029        0.822817      0.00402438
            0.54               5        0.835007        0.825255      0.00388849
            0.54               6        0.819359        0.824272      0.00336231
            0.54               7        0.791682        0.819617      0.00518517
            0.54               8        0.819762        0.819635      0.00453706
            0.54               9        0.811719        0.818755       0.0041173
            0.54              10        0.802387        0.817119      0.00401777
            0.54              11        0.793235        0.814947      0.00419841
            0.54              12        0.812745        0.814764      0.00385255
            0.54              13        0.809764        0.814379      0.00357534
            0.54              14        0.825644        0.815184       0.0034093
            0.54              15        0.864028         0.81844      0.00447456
            0.54              16        0.769741        0.815396      0.00512661
            0.54              17        0.826331         0.81604      0.00486523
            0.54              18        0.866006        0.818816      0.00532832
            0.54              19        0.795621        0.817595      0.00518584
            0.54              20        0.826898         0.81806      0.00494737
            0.56               1        0.746003        0.746003               0
            0.56               2        0.797585        0.771794       0.0182371
            0.56               3        0.762218        0.768602       0.0124342
            0.56               4        0.774476         0.77007      0.00941198
            0.56               5         0.72915        0.761886       0.0105013
            0.56               6        0.773601        0.763839      0.00893077
            0.56               7        0.806006        0.769863      0.00947109
            0.56               8         0.76623        0.769409      0.00829808
            0.56               9        0.752126        0.767488      0.00759501
            0.56              10        0.757307         0.76647      0.00690341
            0.56              11         0.78001        0.767701      0.00638461
            0.56              12        0.762664        0.767281      0.00586635
            0.56              13        0.777893        0.768098      0.00547158
            0.56              14        0.791123        0.769742      0.00532219
            0.56              15        0.720951         0.76649      0.00587791
            0.56              16        0.753321        0.765667      0.00556786
            0.56              17        0.724393        0.763239      0.00574533
