#T      BLOCK:  ACTUAL_CV:     CV_AVE:      ERROR:
             0.5               1        0.372371        0.372371               0
             0.5               2        0.346952        0.359662      0.00898705
             0.5               3        0.328243        0.349189       0.0104411
             0.5               4         0.34318        0.347687      0.00793814
             0.5               5         0.31648        0.341445      0.00845538
             0.5               6        0.322387        0.338269      0.00761948
             0.5               7        0.363562        0.341882      0.00733787
             0.5               8         0.33884        0.341502      0.00643048
             0.5               9        0.293737        0.336195      0.00759666
             0.5              10        0.332404        0.335816      0.00684644
             0.5              11        0.359409         0.33796      0.00655139
             0.5              12        0.317667        0.336269      0.00621988
             0.5              13        0.306683        0.333993       0.0061437
             0.5              14         0.30225        0.331726      0.00610896
             0.5              15        0.345365        0.332635      0.00576896
             0.5              16        0.359427         0.33431      0.00564619
             0.5              17        0.307231        0.332717      0.00553419
             0.5              18        0.320716         0.33205      0.00526674
             0.5              19        0.340268        0.332483      0.00500727
             0.5              20        0.334157        0.332566      0.00475761
            0.52               1        0.369174        0.369174               0
            0.52               2        0.351579        0.360376      0.00622069
            0.52               3        0.345043        0.355265      0.00588335
            0.52               4        0.353225        0.354755      0.00443457
            0.52               5        0.366783        0.357161      0.00414911
            0.52               6        0.365273        0.358513      0.00367127
            0.52               7        0.340897        0.355996      0.00391541
            0.52               8        0.366358        0.357291      0.00363391
            0.52               9        0.369644        0.358664      0.00347971
            0.52              10        0.375757        0.360373      0.00352668
            0.52              11        0.354506         0.35984      0.00324616
            0.52              12        0.366435        0.360389      0.00302181
            0.52              13        0.366561        0.360864      0.00282641
            0.52              14        0.341519        0.359482      0.00294296
            0.52              15        0.327795         0.35737      0.00342197
            0.52              16        0.364735         0.35783      0.00323891
            0.52              17        0.360865        0.358009       0.0030533
            0.52              18        0.352756        0.357717      0.00289759
            0.52              19        0.351005        0.357364      0.00276653
            0.52              20        0.352911        0.357141      0.00263715
            0.54               1        0.385684        0.385684               0
            0.54               2        0.390922        0.388303      0.00185214
            0.54               3        0.380917        0.385841      0.00235913
            0.54               4        0.401891        0.389854      0.00389947
            0.54               5         0.38398        0.388679      0.00329173
            0.54               6        0.388697        0.388682      0.00274311
            0.54               7        0.378079        0.387167       0.0027377
            0.54               8          0.3696        0.384971      0.00315558
            0.54               9        0.384984        0.384973      0.00280496
            0.54              10        0.385738        0.385049      0.00252551
            0.54              11         0.39496         0.38595      0.00245137
            0.54              12        0.412589         0.38817      0.00309299
            0.54              13        0.375861        0.387223      0.00299649
            0.54              14        0.366933        0.385774      0.00311326
            0.54              15        0.377398        0.385215      0.00295536
            0.54              16        0.391874        0.385632       0.0027998
            0.54              17        0.381758        0.385404      0.00264436
            0.54              18        0.394836        0.385928      0.00254884
            0.54              19        0.401835        0.386765       0.0025485
            0.54              20        0.351491        0.385001      0.00296931
            0.56               1        0.425289        0.425289               0
            0.56               2        0.391383        0.408336       0.0119876
            0.56               3         0.42177        0.412814      0.00878845
            0.56               4         0.41033        0.412193      0.00661323
            0.56               5        0.405557        0.410866      0.00542212
            0.56               6        0.411578        0.410984      0.00451974
            0.56               7        0.412832        0.411248      0.00388176
            0.56               8        0.393234        0.408997      0.00399666
            0.56               9        0.396187        0.407573      0.00379758
            0.56              10        0.397345         0.40655      0.00355289
            0.56              11        0.399997        0.405955      0.00327946
            0.56              12        0.398435        0.405328      0.00306546
            0.56              13        0.407841        0.405521      0.00283574
            0.56              14        0.414757        0.406181      0.00270883
            0.56              15        0.403908        0.406029      0.00253248
            0.56              16        0.424437         0.40718      0.00262252
            0.56              17        0.416354        0.407719      0.00252317
            0.56              18        0.404133         0.40752      0.00239084
            0.56              19        0.395762        0.406901      0.00234374
            0.56              20        0.413789        0.407246      0.00225171
            0.58               1        0.415615        0.415615               0
            0.58               2        0.435496        0.425555      0.00702925
            0.58               3        0.415336        0.422149      0.00544942
            0.58               4        0.417701        0.421037      0.00419898
            0.58               5        0.395554         0.41594       0.0056626
            0.58               6        0.412218         0.41532      0.00475269
            0.58               7        0.416347        0.415467        0.004076
            0.58               8        0.408921        0.414649      0.00364769
            0.58               9        0.415648         0.41476      0.00324408
            0.58              10        0.415251        0.414809      0.00292005
            0.58              11        0.422325        0.415492      0.00273337
            0.58              12        0.424343         0.41623       0.0026032
            0.58              13        0.403748        0.415269      0.00257392
            0.58              14        0.410846        0.414954      0.00240939
            0.58              15        0.403675        0.414202      0.00236317
            0.58              16        0.411913        0.414059      0.00221979
            0.58              17        0.403032         0.41341      0.00218193
            0.58              18        0.421076        0.413836      0.00210187
            0.58              19        0.413861        0.413837      0.00199124
            0.58              20        0.419603        0.414126      0.00191244
             0.6               1        0.419362        0.419362               0
             0.6               2         0.43567        0.427516      0.00576569
             0.6               3        0.422135        0.425722      0.00411337
             0.6               4        0.423443        0.425152      0.00312426
             0.6               5        0.419313        0.423985      0.00270889
             0.6               6        0.423083        0.423834      0.00226157
             0.6               7        0.424445        0.423922      0.00194017
             0.6               8        0.420085        0.423442      0.00175591
             0.6               9        0.408451        0.421776      0.00221414
             0.6              10        0.419641        0.421563        0.002003
             0.6              11        0.429862        0.422317      0.00195786
             0.6              12        0.396065         0.42013      0.00275831
             0.6              13        0.397992        0.418427      0.00302646
             0.6              14        0.432379        0.419423      0.00296984
             0.6              15        0.429881         0.42012      0.00285252
             0.6              16        0.429507        0.420707      0.00273389
             0.6              17        0.427866        0.421128       0.0026053
             0.6              18        0.439254        0.422135      0.00264804
             0.6              19        0.433486        0.422733      0.00257517
             0.6              20        0.421627        0.422677      0.00244701
            0.62               1        0.424545        0.424545               0
            0.62               2        0.453274        0.438909       0.0101574
            0.62               3        0.440859        0.439559      0.00679235
