#T      BLOCK:  ACTUAL_CV:     CV_AVE:      ERROR:
             0.5               1        0.336036        0.336036               0
             0.5               2        0.341005         0.33852      0.00175677
             0.5               3        0.309701        0.328914      0.00793066
             0.5               4        0.308352        0.323773       0.0074294
             0.5               5        0.336081        0.326235      0.00633821
             0.5               6        0.344987         0.32936      0.00600311
             0.5               7        0.338994        0.330737      0.00530095
             0.5               8        0.335743        0.331362      0.00467512
             0.5               9        0.325936        0.330759      0.00419437
             0.5              10        0.335084        0.331192      0.00379716
             0.5              11        0.309227        0.329195      0.00394217
             0.5              12        0.315487        0.328053      0.00377554
             0.5              13        0.312773        0.326877       0.0036635
             0.5              14        0.340937        0.327882       0.0035368
             0.5              15        0.321483        0.327455      0.00332664
             0.5              16         0.29987        0.325731      0.00353739
             0.5              17        0.303363        0.324415      0.00356563
             0.5              18        0.341749        0.325378      0.00349516
             0.5              19        0.333882        0.325826      0.00333974
             0.5              20        0.313574        0.325213      0.00322844
            0.52               1        0.364876        0.364876               0
            0.52               2        0.365432        0.365154     0.000196682
            0.52               3        0.372242        0.367517       0.0019335
            0.52               4        0.357082        0.364908      0.00268454
            0.52               5        0.361447        0.364216       0.0022351
            0.52               6        0.380706        0.366964      0.00312468
            0.52               7         0.36463        0.366631      0.00269603
            0.52               8        0.362396        0.366101      0.00241045
            0.52               9        0.360032        0.365427      0.00223498
            0.52              10        0.357074        0.364592      0.00216193
            0.52              11        0.348339        0.363114      0.00241814
            0.52              12         0.38382         0.36484      0.00276452
            0.52              13        0.366274         0.36495      0.00255406
            0.52              14        0.368623        0.365212      0.00238507
            0.52              15        0.373768        0.365783      0.00229325
            0.52              16        0.362593        0.365583      0.00215857
            0.52              17        0.348332        0.364569      0.00225756
            0.52              18        0.365562        0.364624      0.00213281
            0.52              19        0.361375        0.364453       0.0020274
            0.52              20        0.354551        0.363958      0.00198557
            0.54               1        0.384175        0.384175               0
            0.54               2        0.385682        0.384929     0.000532789
            0.54               3        0.385404        0.385087     0.000377963
            0.54               4        0.394152        0.387353      0.00198288
            0.54               5        0.374078        0.384698      0.00285588
            0.54               6        0.382745        0.384373      0.00239838
            0.54               7        0.392478        0.385531      0.00231846
            0.54               8        0.389464        0.386022      0.00208014
            0.54               9        0.394007        0.386909       0.0020294
            0.54              10        0.388067        0.387025      0.00182976
            0.54              11        0.374879        0.385921      0.00196858
            0.54              12        0.394399        0.386628      0.00192715
            0.54              13        0.371824        0.385489      0.00208843
            0.54              14        0.391263        0.385901      0.00197957
            0.54              15        0.381039        0.385577      0.00187396
            0.54              16        0.387114        0.385673       0.0017593
            0.54              17         0.38156        0.385431      0.00167236
            0.54              18        0.380853        0.385177      0.00159868
            0.54              19        0.370421          0.3844      0.00169269
            0.54              20        0.383236        0.384342      0.00160905
            0.56               1        0.413102        0.413102               0
            0.56               2        0.407028        0.410065       0.0021474
            0.56               3        0.393761         0.40463      0.00466246
            0.56               4        0.400063        0.403489      0.00363398
            0.56               5        0.401186        0.403028      0.00293622
            0.56               6        0.412662        0.404634      0.00285228
            0.56               7        0.408417        0.405174      0.00249548
            0.56               8        0.394671        0.403861      0.00250524
            0.56               9        0.400176        0.403452      0.00226008
            0.56              10        0.407351        0.403842      0.00206744
            0.56              11        0.410172        0.404417      0.00195794
            0.56              12        0.414595        0.405265      0.00196995
            0.56              13        0.415891        0.406083      0.00198074
            0.56              14        0.393236        0.405165      0.00204078
            0.56              15        0.404143        0.405097      0.00190587
            0.56              16        0.397864        0.404645      0.00183958
            0.56              17        0.417394        0.405395      0.00187803
            0.56              18        0.417061        0.406043      0.00188221
            0.56              19          0.4001         0.40573      0.00180894
            0.56              20        0.420315        0.406459      0.00185969
            0.58               1        0.444702        0.444702               0
            0.58               2        0.420356        0.432529      0.00860757
            0.58               3          0.4246        0.429886      0.00613068
            0.58               4        0.412284        0.425485      0.00597205
            0.58               5        0.413793        0.423147      0.00521541
            0.58               6         0.40823        0.420661      0.00490304
            0.58               7        0.424462        0.421204      0.00423258
