#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
             0.5               1         72.0147         72.0147               0
             0.5               2         77.8882         74.9515         2.07659
             0.5               3         79.1378         76.3469         1.79296
             0.5               4         77.9291         76.7424         1.38767
             0.5               5         79.8503          77.364         1.24156
             0.5               6         79.4814         77.7169         1.08362
             0.5               7         75.6633         77.4235         0.96772
             0.5               8         77.2889         77.4067        0.846901
             0.5               9         83.3727         78.0696        0.978418
             0.5              10         79.7712         78.2397        0.895251
             0.5              11         75.7571          78.014        0.841832
             0.5              12         81.5386         78.3078        0.821322
             0.5              13         81.3095         78.5387        0.789934
             0.5              14         81.1861         78.7278        0.755806
             0.5              15         77.3295         78.6345        0.711144
             0.5              16         76.1985         78.4823        0.682802
             0.5              17         81.3241         78.6495        0.662783
             0.5              18         79.4623         78.6946        0.627499
             0.5              19         78.7523         78.6977         0.59448
             0.5              20         78.7215         78.6988        0.564757
            0.52               1         70.2745         70.2745               0
            0.52               2         73.3253         71.7999         1.07862
            0.52               3         73.0084         72.2027        0.790731
            0.52               4         72.4929         72.2753        0.596368
            0.52               5         70.3566         71.8915        0.587725
            0.52               6         69.4674         71.4875        0.613113
            0.52               7         73.4551         71.7686        0.586429
            0.52               8         71.4729         71.7316        0.514288
            0.52               9         69.9871         71.5378         0.49232
            0.52              10         68.4275         71.2268        0.532348
            0.52              11         70.2944          71.142        0.490654
            0.52              12         70.8733         71.1196        0.450277
            0.52              13         69.3609         70.9843        0.435489
            0.52              14         72.2104         71.0719        0.413094
            0.52              15          76.262         71.4179        0.510286
            0.52              16          72.163         71.4645        0.480513
            0.52              17         72.3675         71.5176        0.455174
            0.52              18         71.9675         71.5426        0.430573
            0.52              19         72.9463         71.6165        0.414201
            0.52              20         74.3029         71.7508        0.414699
            0.54               1         61.5802         61.5802               0
            0.54               2         59.8491         60.7147        0.612052
            0.54               3         63.7986         61.7426        0.933253
            0.54               4         62.4449         61.9182        0.716263
            0.54               5         65.7502         62.6846        0.893434
            0.54               6         62.8856         62.7181        0.745156
            0.54               7         62.8133         62.7317        0.638829
            0.54               8         64.8851         63.0009        0.613067
            0.54               9         64.2761         63.1426        0.561085
            0.54              10         62.4081         63.0691        0.509761
            0.54              11          62.823         63.0467         0.46391
            0.54              12         59.2442         62.7299        0.522382
