#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
             0.5               1         78.4556         78.4556               0
             0.5               2         77.9394         78.1975        0.182481
             0.5               3         80.9595         79.1182        0.761516
             0.5               4          81.002         79.5891        0.701815
             0.5               5         77.8504         79.2414        0.641845
             0.5               6         78.9074         79.1857        0.537279
             0.5               7         78.1008         79.0307        0.482361
             0.5               8         78.3348         78.9438        0.429838
             0.5               9         80.1482         79.0776        0.402372
             0.5              10         78.1844         78.9883        0.371915
             0.5              11         80.5307         79.1285        0.363578
             0.5              12         80.8266           79.27        0.359767
             0.5              13          80.871         79.3931        0.352542
             0.5              14         77.9613         79.2909        0.341874
             0.5              15         79.9075          79.332        0.321545
             0.5              16         83.1836         79.5727        0.381049
             0.5              17         81.7146         79.6987        0.378893
             0.5              18         78.0151         79.6052        0.369208
             0.5              19         78.0014         79.5208        0.359295
             0.5              20         81.3309         79.6113        0.352546
            0.52               1         71.8958         71.8958               0
            0.52               2         70.5496         71.2227        0.475965
            0.52               3         69.1904         70.5453        0.637665
            0.52               4          72.846         71.1205        0.690537
            0.52               5         70.4473         70.9858          0.5654
            0.52               6          69.714         70.7739        0.509355
            0.52               7         70.6762         70.7599        0.436781
            0.52               8         71.7712         70.8863        0.400057
            0.52               9         72.5373         71.0698        0.395434
            0.52              10         72.0847         71.1713        0.368684
            0.52              11         72.8008         71.3194        0.363714
            0.52              12         68.9178         71.1193        0.384543
            0.52              13          71.552         71.1526        0.356401
            0.52              14         70.3871         71.0979        0.335111
            0.52              15         69.0188         70.9593         0.34023
            0.52              16         69.7137         70.8814         0.32775
            0.52              17         73.7224         71.0485         0.34848
            0.52              18         71.7722         71.0887        0.331431
            0.52              19         70.2384          71.044        0.316995
            0.52              20         71.4348         71.0635        0.301747
            0.54               1         65.3469         65.3469               0
            0.54               2         63.8963         64.6216        0.512862
            0.54               3         64.2309         64.4914        0.358061
            0.54               4         62.5256         63.9999        0.503256
            0.54               5         64.3343         64.0668        0.407022
            0.54               6          64.813         64.1912        0.357679
            0.54               7         62.8063         63.9933        0.357129
            0.54               8         61.4412         63.6743        0.432085
            0.54               9         61.7834         63.4642        0.432146
            0.54              10         62.2389         63.3417        0.405932
            0.54              11         66.3016         63.6108         0.44945
            0.54              12         62.3612         63.5066        0.423888
            0.54              13         65.3734         63.6502        0.414891
            0.54              14          63.508         63.6401        0.385381
            0.54              15         64.8605         63.7214        0.368176
            0.54              16         62.1162         63.6211        0.358575
            0.54              17         64.9045         63.6966        0.345338
            0.54              18         65.1782         63.7789        0.335819
            0.54              19         65.9411         63.8927        0.336876
            0.54              20         63.6914         63.8826        0.320182
            0.56               1         58.1734         58.1734               0
            0.56               2         58.2878         58.2306        0.040447
            0.56               3         54.8709         57.1107        0.914802
            0.56               4         58.8287         57.5402        0.780437
            0.56               5         54.1803         56.8682        0.866645
            0.56               6         56.0843         56.7376        0.731987
            0.56               7         57.2418         56.8096        0.630951
            0.56               8         58.0848          56.969        0.571864
            0.56               9         57.6035         57.0395         0.51265
            0.56              10          56.401         56.9757        0.465345
            0.56              11         59.0165         57.1612        0.458537
            0.56              12         57.1515         57.1604        0.420326
            0.56              13         55.7798         57.0542        0.401185
            0.56              14         55.3652         56.9335        0.390247
            0.56              15         54.6138         56.7789        0.393683
            0.56              16         54.7593         56.6527        0.388787
            0.56              17         53.9527         56.4938        0.397033
            0.56              18         55.7233          56.451        0.377277
            0.56              19         56.3517         56.4458        0.357456
            0.56              20         54.6319         56.3551        0.350901
            0.58               1         52.4012         52.4012               0
            0.58               2         51.2723         51.8367        0.399135
            0.58               3          48.348         50.6738        0.986092
            0.58               4         49.9229         50.4861        0.757229
            0.58               5         49.2262         50.2341        0.646351
            0.58               6         49.2487         50.0699        0.559102
            0.58               7         48.5884         49.8582        0.517741
            0.58               8         46.9509         49.4948        0.566384
            0.58               9         49.0998         49.4509         0.50515
            0.58              10         49.1186         49.4177        0.455727
            0.58              11         50.5465         49.5203        0.425695
            0.58              12         51.3621         49.6738        0.416973
            0.58              13         47.9439         49.5407        0.405576
            0.58              14          51.148         49.6555         0.39252
            0.58              15         49.1109         49.6192        0.368027
            0.58              16          51.449         49.7336        0.362359
            0.58              17         50.1406         49.7575        0.341834
            0.58              18         49.2185         49.7276        0.324152
            0.58              19         50.6484          49.776        0.310693
            0.58              20         49.4999         49.7622        0.295465
             0.6               1           44.81           44.81               0
             0.6               2         47.7782         46.2941         1.04942
             0.6               3         44.1058         45.5647        0.918791
             0.6               4         42.7574         44.8629        0.918846
             0.6               5         45.3768         44.9656        0.740803
             0.6               6         43.6331         44.7435        0.649775
             0.6               7         43.3252         44.5409        0.587694
             0.6               8         44.4766         44.5329        0.514287
             0.6               9         42.9818         44.3605        0.485161
             0.6              10         43.4105         44.2655         0.44585
             0.6              11         43.9962         44.2411        0.405989
             0.6              12         44.2782         44.2441        0.372169
             0.6              13         45.3898         44.3323        0.353821
             0.6              14         47.3396         44.5471        0.388319
             0.6              15          43.232         44.4594        0.372196
             0.6              16         42.8515         44.3589        0.362247
             0.6              17         43.3398          44.299        0.345863
             0.6              18         41.3279         44.1339        0.363909
             0.6              19         43.7041         44.1113        0.345458
             0.6              20         45.0794         44.1597        0.331559
            0.62               1         38.1997         38.1997               0
            0.62               2         37.3434         37.7715         0.30275
            0.62               3         39.3055         38.2828        0.463727
            0.62               4         40.0213         38.7175        0.512473
            0.62               5          39.082         38.7904        0.415132
            0.62               6         37.6828         38.6058        0.384805
            0.62               7         39.4973         38.7331        0.350277
            0.62               8         40.6998          38.979        0.383167
            0.62               9         36.7841         38.7351        0.410935
            0.62              10         39.9759         38.8592        0.388123
            0.62              11         39.0652         38.8779        0.353291
            0.62              12         38.8525         38.8758        0.323856
            0.62              13         36.9325         38.7263        0.331655
            0.62              14         39.0167          38.747        0.308614
            0.62              15         39.2748         38.7822        0.290038
            0.62              16         40.2297         38.8727        0.285671
            0.62              17          40.852         38.9891         0.29163
            0.62              18         37.0426          38.881        0.294798
            0.62              19         36.7823         38.7705        0.299261
            0.62              20         37.9171         38.7278        0.287324
            0.64               1         34.5039         34.5039               0
            0.64               2         34.4716         34.4878       0.0114367
            0.64               3         32.3838         33.7864        0.572685
            0.64               4         34.8559         34.0538        0.487948
            0.64               5         34.0581         34.0547         0.39036
            0.64               6         32.3896         33.7771        0.412304
            0.64               7         33.7637         33.7752        0.353408
            0.64               8         35.2341         33.9576        0.353163
            0.64               9          34.327         33.9986        0.316298
            0.64              10         33.9932         33.9981        0.284669
            0.64              11         34.1755         34.0142        0.259247
            0.64              12         35.0931         34.1041        0.252753
            0.64              13         33.6817         34.0716         0.23539
            0.64              14         35.0716         34.1431        0.229157
            0.64              15          34.768         34.1847        0.217634
            0.64              16         35.1106         34.2426        0.211586
            0.64              17         36.1649         34.3557        0.227355
            0.64              18         34.2822         34.3516        0.214761
            0.64              19         34.3692         34.3525         0.20346
            0.64              20         33.9675         34.3333        0.194195
            0.66               1         32.5525         32.5525               0
            0.66               2         29.5472         31.0499         1.06255
            0.66               3         29.6933         30.5977        0.798806
            0.66               4         29.4937         30.3217        0.645025
            0.66               5         29.2133            30.1        0.552805
            0.66               6         32.1687         30.4448        0.557924
            0.66               7         29.9704          30.377        0.482319
            0.66               8         31.4565          30.512        0.440499
            0.66               9         30.2007         30.4774         0.39291
            0.66              10         29.8314         30.4128         0.35889
            0.66              11         30.5934         30.4292        0.326639
            0.66              12         30.2012         30.4102        0.299971
            0.66              13         28.4853         30.2621        0.311304
            0.66              14         30.2617         30.2621        0.289068
            0.66              15         30.1697         30.2559        0.269863
            0.66              16         31.0908         30.3081        0.257992
            0.66              17         31.8954         30.4015        0.259162
            0.66              18         29.5505         30.3542         0.24904
            0.66              19         30.6957         30.3722         0.23658
            0.66              20         30.0792         30.3575        0.225204
            0.68               1         26.8597         26.8597               0
            0.68               2         27.7221         27.2909         0.30488
            0.68               3         27.8437         27.4752        0.252886
            0.68               4         28.2663          27.673        0.255557
            0.68               5         27.4968         27.6377        0.206861
            0.68               6         26.5712           27.46        0.236738
            0.68               7         27.9522         27.5303        0.213105
            0.68               8          26.426         27.3923        0.226808
            0.68               9         26.4928         27.2923         0.22254
            0.68              10         27.3888          27.302        0.200496
            0.68              11         26.0141         27.1849        0.213736
            0.68              12         26.2488         27.1069        0.209676
            0.68              13         28.6896         27.2286        0.226149
            0.68              14         27.9642         27.2812        0.216012
            0.68              15         28.5083          27.363        0.216549
            0.68              16         27.9651         27.4006        0.206258
            0.68              17         27.7604         27.4218        0.195209
            0.68              18         27.1351         27.4058        0.185012
            0.68              19          28.737         27.4759        0.188072
            0.68              20         26.0688         27.4055        0.191376
             0.7               1         25.0685         25.0685               0
             0.7               2         23.8275          24.448        0.438744
             0.7               3          24.508          24.468        0.292951
             0.7               4         23.7954         24.2999        0.263587
             0.7               5         23.7248         24.1849        0.234623
             0.7               6         24.1207         24.1742        0.195763
             0.7               7         25.0476         24.2989        0.203716
             0.7               8         24.7664         24.3574        0.186444
             0.7               9         24.4401         24.3666        0.165954
             0.7              10         24.9698         24.4269        0.159948
             0.7              11         23.1413           24.31        0.183194
             0.7              12         24.8172         24.3523        0.172734
             0.7              13         25.4382         24.4358        0.178506
             0.7              14         25.2901         24.4968        0.175876
             0.7              15         26.0298          24.599        0.191556
             0.7              16         24.7461         24.6082        0.179804
             0.7              17         24.6588         24.6112        0.169252
             0.7              18         25.0917         24.6379         0.16194
             0.7              19         25.3177         24.6737         0.15732
             0.7              20         25.1862         24.6993        0.151527
            0.72               1         23.0259         23.0259               0
            0.72               2         23.6386         23.3322        0.216628
            0.72               3         22.0412         22.9019        0.379903
            0.72               4         20.3511         22.2642        0.621422
            0.72               5         23.3123         22.4738        0.531317
            0.72               6         21.6872         22.3427        0.458654
            0.72               7         23.4669         22.5033        0.420309
            0.72               8         23.0505         22.5717        0.373294
            0.72               9         20.7617         22.3706         0.38217
            0.72              10         21.2674         22.2603        0.359523
            0.72              11         22.2481         22.2592        0.326841
            0.72              12         21.2556         22.1755        0.310118
            0.72              13         23.2375         22.2572        0.296826
            0.72              14         22.9761         22.3086        0.280031
            0.72              15         22.7649          22.339        0.263009
            0.72              16         22.2833         22.3355        0.246594
            0.72              17         23.1708         22.3847        0.236933
            0.72              18         21.1435         22.3157        0.233588
            0.72              19           21.99         22.2986        0.221922
            0.72              20         21.9217         22.2797        0.211624
            0.74               1          20.681          20.681               0
            0.74               2         20.2954         20.4882        0.136337
            0.74               3         19.9683         20.3149        0.168192
            0.74               4         20.1478         20.2731        0.131231
            0.74               5          20.268         20.2721        0.104989
            0.74               6         19.6087         20.1615        0.133568
            0.74               7         18.8152         19.9692        0.211695
            0.74               8         20.6362         20.0526        0.200982
            0.74               9         20.9031         20.1471        0.199637
            0.74              10         19.9419         20.1266        0.180724
            0.74              11         20.2782         20.1403         0.16482
            0.74              12         19.9935         20.1281        0.151539
            0.74              13         19.7003         20.0952         0.14341
            0.74              14         20.1566         20.0996        0.133234
            0.74              15         20.6254         20.1346         0.12888
            0.74              16         19.4502         20.0919        0.127727
            0.74              17         19.5581         20.0605        0.124013
            0.74              18         20.0022         20.0572        0.117166
            0.74              19         19.8295         20.0452        0.111611
            0.74              20         19.6581         20.0259        0.107696
            0.76               1         18.5068         18.5068               0
            0.76               2         17.8249         18.1658        0.241081
            0.76               3         18.9256         18.4191        0.261901
            0.76               4         18.4078         18.4163        0.196441
