#T      BLOCK:  ACTUAL_TE:     TE_AVE:      ERROR:
             0.5               1       -0.966828       -0.966828               0
             0.5               2       -0.972727       -0.969777      0.00208542
             0.5               3        -0.97359       -0.971048      0.00173482
             0.5               4       -0.973067       -0.971553      0.00137258
             0.5               5       -0.975218       -0.972286      0.00127894
             0.5               6       -0.974988       -0.972736      0.00114234
             0.5               7       -0.970307       -0.972389      0.00103051
             0.5               8       -0.972604       -0.972416     0.000902049
             0.5               9       -0.978376       -0.973079      0.00101622
             0.5              10       -0.974627       -0.973233     0.000926317
             0.5              11       -0.970721       -0.973005     0.000869801
             0.5              12       -0.976129       -0.973265      0.00083538
             0.5              13        -0.97681       -0.973538     0.000814395
             0.5              14       -0.976285       -0.973734     0.000779502
             0.5              15       -0.972306       -0.973639     0.000733328
             0.5              16        -0.97071       -0.973456     0.000709978
             0.5              17         -0.9766       -0.973641     0.000691881
             0.5              18       -0.974278       -0.973676     0.000654347
             0.5              19       -0.973912       -0.973689     0.000620026
             0.5              20       -0.973664       -0.973687     0.000589026
            0.52               1        -0.96666        -0.96666               0
            0.52               2       -0.969671       -0.968166       0.0010643
            0.52               3       -0.969609       -0.968647     0.000810989
            0.52               4       -0.969044       -0.968746     0.000614286
            0.52               5        -0.96679       -0.968355     0.000603217
            0.52               6       -0.965107       -0.967813     0.000704874
            0.52               7       -0.969521       -0.968057      0.00064501
            0.52               8       -0.968107       -0.968064     0.000564414
            0.52               9       -0.966706       -0.967913      0.00052148
            0.52              10       -0.964412       -0.967563     0.000574951
            0.52              11       -0.966877         -0.9675     0.000526052
            0.52              12         -0.9676       -0.967509     0.000482279
            0.52              13       -0.965984       -0.967391     0.000459217
            0.52              14       -0.968796       -0.967492     0.000437232
            0.52              15       -0.972752       -0.967842     0.000530386
            0.52              16       -0.968007       -0.967853     0.000497337
            0.52              17       -0.968811       -0.967909     0.000471268
            0.52              18       -0.967971       -0.967912     0.000445099
            0.52              19       -0.969471       -0.967994     0.000429164
            0.52              20        -0.96989       -0.968089     0.000418042
            0.54               1       -0.957717       -0.957717               0
            0.54               2       -0.956201       -0.956959     0.000535906
            0.54               3        -0.96047       -0.958129      0.00102029
            0.54               4       -0.958946       -0.958334     0.000785398
            0.54               5       -0.961903       -0.959047     0.000895797
            0.54               6       -0.959023       -0.959043     0.000746506
            0.54               7       -0.958909       -0.959024      0.00064011
            0.54               8       -0.961505       -0.959334      0.00063076
            0.54               9       -0.960205       -0.959431     0.000568053
            0.54              10       -0.959083       -0.959396     0.000512311
            0.54              11       -0.958871       -0.959349     0.000467956
            0.54              12       -0.954468       -0.958942     0.000579342
            0.54              13       -0.960033       -0.959026     0.000540822
            0.54              14       -0.963242       -0.959327     0.000580014
            0.54              15       -0.963317       -0.959593      0.00059925
            0.54              16       -0.958622       -0.959532     0.000564863
            0.54              17        -0.96393       -0.959791     0.000587894
            0.54              18       -0.958184       -0.959702     0.000561967
            0.54              19       -0.958396       -0.959633     0.000536572
            0.54              20       -0.966288       -0.959966     0.000604167
            0.56               1       -0.948524       -0.948524               0
            0.56               2       -0.956666       -0.952595      0.00287865
            0.56               3       -0.950188       -0.951792      0.00202784
            0.56               4       -0.953781        -0.95229      0.00158064
            0.56               5       -0.950091        -0.95185      0.00132428
            0.56               6       -0.952455       -0.951951      0.00110741
            0.56               7       -0.950781       -0.951784     0.000961731
            0.56               8       -0.952406       -0.951861     0.000844659
            0.56               9       -0.949113       -0.951556     0.000804123
            0.56              10       -0.949033       -0.951304     0.000762281
            0.56              11       -0.954407       -0.951586     0.000743344
            0.56              12       -0.951684       -0.951594     0.000681443
            0.56              13       -0.953423       -0.951735      0.00064338
            0.56              14       -0.947148       -0.951407     0.000675701
            0.56              15        -0.95258       -0.951485     0.000635161
            0.56              16        -0.95096       -0.951452     0.000596312
            0.56              17       -0.950245       -0.951381     0.000565447
            0.56              18       -0.949569       -0.951281      0.00054292
            0.56              19       -0.948165       -0.951117     0.000538548
            0.56              20        -0.95101       -0.951111     0.000511647
            0.58               1       -0.941518       -0.941518               0
            0.58               2       -0.941952       -0.941735     0.000153442
            0.58               3       -0.940664       -0.941378     0.000308927
            0.58               4       -0.946607       -0.942686      0.00115553
            0.58               5       -0.946197       -0.943388      0.00111762
            0.58               6       -0.944581       -0.943587      0.00094888
            0.58               7       -0.944758       -0.943754     0.000827957
            0.58               8       -0.945607       -0.943986     0.000756166
            0.58               9       -0.939135       -0.943447     0.000842634
            0.58              10       -0.947573       -0.943859     0.000853439
            0.58              11       -0.943839       -0.943858     0.000775855
            0.58              12       -0.945095       -0.943961     0.000718018
            0.58              13       -0.946102       -0.944125     0.000681424
            0.58              14       -0.942912       -0.944039     0.000638241
            0.58              15       -0.943749       -0.944019     0.000595984
            0.58              16        -0.94594       -0.944139     0.000570698
            0.58              17       -0.944165       -0.944141     0.000537129
            0.58              18       -0.941789        -0.94401     0.000522937
            0.58              19       -0.940997       -0.943852     0.000518899
            0.58              20        -0.94282         -0.9438     0.000495509
             0.6               1       -0.933806       -0.933806               0
             0.6               2        -0.93517       -0.934488     0.000481961
             0.6               3       -0.935954       -0.934977     0.000512368
             0.6               4       -0.938714       -0.935911     0.000895722
             0.6               5       -0.937569       -0.936243     0.000775545
             0.6               6       -0.935144        -0.93606     0.000667548
             0.6               7       -0.933599       -0.935708     0.000658268
             0.6               8       -0.935508       -0.935683     0.000576457
             0.6               9       -0.937468       -0.935881     0.000545444
             0.6              10       -0.933737       -0.935667     0.000531389
             0.6              11       -0.936621       -0.935754     0.000490109
             0.6              12       -0.934146        -0.93562     0.000467211
             0.6              13       -0.936673       -0.935701      0.00043824
             0.6              14       -0.934357       -0.935605     0.000417313
             0.6              15       -0.930349       -0.935254      0.00051602
             0.6              16       -0.934336       -0.935197      0.00048695
             0.6              17       -0.937259       -0.935318     0.000473172
             0.6              18       -0.935819       -0.935346       0.0004477
             0.6              19       -0.935123       -0.935334      0.00042429
             0.6              20       -0.932399       -0.935188     0.000427708
            0.62               1       -0.925263       -0.925263               0
