#T      BLOCK:  ACTUAL_TE:     TE_AVE:      ERROR:
             0.5               1       -0.973328       -0.973328               0
             0.5               2        -0.97304       -0.973184      0.00010186
             0.5               3       -0.976096       -0.974154     0.000795588
             0.5               4       -0.976356       -0.974705     0.000763645
             0.5               5       -0.973012       -0.974366     0.000681851
             0.5               6       -0.973194       -0.974171     0.000595534
             0.5               7       -0.973219       -0.974035     0.000525755
             0.5               8       -0.973743       -0.973998     0.000461302
             0.5               9       -0.975275        -0.97414     0.000431298
             0.5              10       -0.973057       -0.974032     0.000401545
             0.5              11        -0.97584       -0.974196     0.000397281
             0.5              12       -0.975627       -0.974315     0.000381641
             0.5              13        -0.97595       -0.974441     0.000372425
             0.5              14       -0.972894       -0.974331     0.000361857
             0.5              15       -0.975492       -0.974408      0.00034592
             0.5              16       -0.978041       -0.974635     0.000391805
             0.5              17       -0.977177       -0.974785     0.000396261
             0.5              18       -0.972825       -0.974676     0.000388917
             0.5              19        -0.97325       -0.974601     0.000375613
             0.5              20       -0.976294       -0.974685     0.000366256
            0.52               1       -0.967574       -0.967574               0
            0.52               2       -0.966748       -0.967161     0.000292003
            0.52               3       -0.965796       -0.966706     0.000419387
            0.52               4       -0.968961        -0.96727     0.000580759
            0.52               5        -0.96685       -0.967186     0.000470624
            0.52               6       -0.965608       -0.966923     0.000459822
            0.52               7        -0.96687       -0.966915     0.000394195
            0.52               8       -0.967861       -0.967034     0.000362223
            0.52               9        -0.96833       -0.967178     0.000349442
            0.52              10       -0.968066       -0.967267     0.000325597
            0.52              11       -0.969033       -0.967427     0.000333248
            0.52              12       -0.964759       -0.967205     0.000372353
            0.52              13        -0.96784       -0.967254       0.0003469
            0.52              14       -0.966516       -0.967201       0.0003261
            0.52              15       -0.964987       -0.967053     0.000336105
            0.52              16       -0.966026       -0.966989     0.000321167
            0.52              17       -0.969924       -0.967162     0.000345567
            0.52              18       -0.967516       -0.967181     0.000326928
            0.52              19        -0.96649       -0.967145     0.000311739
            0.52              20        -0.96817       -0.967196     0.000300331
            0.54               1       -0.962027       -0.962027               0
            0.54               2       -0.960162       -0.961094       0.0006593
            0.54               3       -0.960823       -0.961004     0.000445674
            0.54               4       -0.958445       -0.960364     0.000647014
            0.54               5       -0.961214       -0.960534     0.000539467
            0.54               6       -0.961254       -0.960654     0.000462686
            0.54               7       -0.958724       -0.960378     0.000471628
            0.54               8       -0.957819       -0.960058     0.000509748
            0.54               9       -0.957942       -0.959823     0.000504448
            0.54              10       -0.958221       -0.959663     0.000478776
            0.54              11        -0.96277       -0.959946     0.000511842
            0.54              12       -0.958199         -0.9598     0.000489453
            0.54              13       -0.962281       -0.959991       0.0004876
            0.54              14       -0.959673       -0.959968     0.000453301
            0.54              15       -0.961396       -0.960063     0.000432954
            0.54              16       -0.958508       -0.959966     0.000416663
            0.54              17       -0.961086       -0.960032     0.000397328
            0.54              18       -0.962041       -0.960144     0.000390613
            0.54              19       -0.962259       -0.960255     0.000385595
            0.54              20       -0.959925       -0.960238     0.000366667
            0.56               1        -0.95389        -0.95389               0
            0.56               2       -0.953918       -0.953904     9.97095e-06
            0.56               3       -0.950802        -0.95287     0.000844205
            0.56               4        -0.95455        -0.95329     0.000730188
            0.56               5       -0.949327       -0.952497      0.00091854
            0.56               6       -0.950905       -0.952232     0.000802852
            0.56               7       -0.952753       -0.952306     0.000691603
            0.56               8       -0.953561       -0.952463     0.000622668
            0.56               9       -0.953807       -0.952612     0.000571107
            0.56              10        -0.95106       -0.952457     0.000534682
            0.56              11       -0.954464        -0.95264     0.000516262
            0.56              12       -0.952133       -0.952597     0.000474966
            0.56              13        -0.95133         -0.9525     0.000448317
            0.56              14        -0.95129       -0.952413     0.000424546
            0.56              15       -0.949249       -0.952202     0.000445595
            0.56              16        -0.95048       -0.952095     0.000430551
            0.56              17       -0.949228       -0.951926     0.000437008
            0.56              18       -0.951017       -0.951876     0.000415638
            0.56              19       -0.952027       -0.951884     0.000393839
            0.56              20       -0.949025       -0.951741     0.000399239
            0.58               1       -0.945598       -0.945598               0
            0.58               2       -0.945002         -0.9453     0.000210793
            0.58               3       -0.941323       -0.943975      0.00109161
            0.58               4       -0.944324       -0.944062     0.000822201
            0.58               5       -0.943523       -0.943954      0.00066479
            0.58               6       -0.942571       -0.943724     0.000592606
            0.58               7       -0.941637       -0.943426     0.000578109
            0.58               8       -0.940329       -0.943039     0.000622056
            0.58               9       -0.941813       -0.942902     0.000567652
            0.58              10        -0.94328        -0.94294     0.000512143
            0.58              11       -0.944877       -0.943116     0.000494917
            0.58              12       -0.945151       -0.943286     0.000481835
            0.58              13       -0.941761       -0.943168     0.000458819
            0.58              14       -0.944281       -0.943248     0.000432879
            0.58              15        -0.94237       -0.943189     0.000407955
            0.58              16       -0.944863       -0.943294     0.000395634
            0.58              17       -0.943852       -0.943327     0.000373719
            0.58              18       -0.942006       -0.943253     0.000360087
            0.58              19       -0.943996       -0.943293     0.000343248
            0.58              20       -0.942438        -0.94325     0.000328733
             0.6               1       -0.935579       -0.935579               0
             0.6               2       -0.940788       -0.938183       0.0018416
             0.6               3       -0.935112        -0.93716      0.00148528
             0.6               4        -0.93299       -0.936117       0.0014339
             0.6               5       -0.937431        -0.93638      0.00117096
             0.6               6       -0.934516       -0.936069      0.00101617
             0.6               7       -0.933078       -0.935642     0.000956654
             0.6               8       -0.935383        -0.93561     0.000837622
             0.6               9       -0.933871       -0.935416     0.000766492
             0.6              10        -0.93386       -0.935261     0.000705459
             0.6              11       -0.935545       -0.935287     0.000641799
             0.6              12       -0.935796       -0.935329      0.00058972
             0.6              13       -0.937623       -0.935506     0.000570151
             0.6              14       -0.938866       -0.935746      0.00057775
             0.6              15       -0.933145       -0.935572     0.000564645
             0.6              16       -0.933059       -0.935415      0.00055077
             0.6              17       -0.935183       -0.935401     0.000518541
             0.6              18       -0.931994       -0.935212     0.000523151
             0.6              19        -0.93407       -0.935152     0.000499058
             0.6              20       -0.936644       -0.935227     0.000479649
            0.62               1       -0.924997       -0.924997               0
            0.62               2       -0.923308       -0.924152     0.000597327
            0.62               3       -0.926546        -0.92495     0.000763557
            0.62               4       -0.928185       -0.925759       0.0009046
            0.62               5       -0.925807       -0.925769     0.000723732
            0.62               6       -0.925516       -0.925726     0.000604332
            0.62               7       -0.926977       -0.925905      0.00054375
            0.62               8       -0.928256       -0.926199     0.000549482
            0.62               9       -0.923164       -0.925862     0.000582804
            0.62              10       -0.926418       -0.925917     0.000527173
            0.62              11       -0.926605        -0.92598     0.000482941
            0.62              12       -0.926453       -0.926019     0.000444303
            0.62              13       -0.923891       -0.925856     0.000439249
            0.62              14       -0.926251       -0.925884     0.000408784
            0.62              15        -0.92622       -0.925906     0.000382144
            0.62              16        -0.92728       -0.925992     0.000367784
            0.62              17       -0.929002       -0.926169     0.000386412
            0.62              18       -0.924059       -0.926052     0.000382317
            0.62              19       -0.924361       -0.925963     0.000372404
            0.62              20       -0.924431       -0.925886      0.00036158
            0.64               1       -0.918183       -0.918183               0
            0.64               2       -0.918032       -0.918108     5.34208e-05
            0.64               3        -0.91493       -0.917049     0.000865589
            0.64               4       -0.917506       -0.917163     0.000656694
            0.64               5       -0.916679       -0.917066     0.000532427
            0.64               6       -0.914843       -0.916696      0.00055792
            0.64               7       -0.917479       -0.916808     0.000489312
            0.64               8       -0.919464        -0.91714     0.000528965
            0.64               9        -0.91724       -0.917151     0.000470308
            0.64              10       -0.917241        -0.91716     0.000423363
            0.64              11       -0.918756       -0.917305     0.000409001
            0.64              12       -0.919013       -0.917447     0.000398925
            0.64              13       -0.915726       -0.917315     0.000389585
            0.64              14       -0.918179       -0.917377     0.000366611
            0.64              15       -0.918131       -0.917427     0.000345604
            0.64              16       -0.919361       -0.917548     0.000344491
