#   N_BLOCK:  ACCEPTANCE:
           1    0.511742
           2    0.511953
           3    0.511899
           4    0.511681
           5    0.511234
           6    0.511397
           7    0.511514
           8    0.511246
           9    0.511221
          10    0.510908
          11    0.510753
          12    0.510838
          13    0.510879
          14    0.510812
          15    0.510867
          16    0.510799
          17    0.510937
          18    0.510847
          19    0.510908
          20    0.510934
          21     0.51093
          22    0.510846
          23    0.510792
          24    0.510672
          25    0.510692
          26     0.51068
          27    0.510661
          28    0.510583
          29    0.510577
          30    0.510547
          31    0.510461
          32     0.51049
          33    0.510464
          34    0.510506
          35    0.510491
          36    0.510575
          37    0.510534
          38     0.51048
          39    0.510499
          40     0.51045
          41    0.510404
          42    0.510425
          43    0.510442
          44    0.510398
          45    0.510348
          46    0.510378
          47    0.510348
          48    0.510308
          49    0.510242
          50    0.510285
          51     0.51026
          52     0.51025
          53    0.510231
          54     0.51022
          55    0.510162
          56    0.510134
          57    0.510126
          58    0.510118
          59    0.510111
          60    0.510158
          61    0.510179
          62    0.510151
          63     0.51019
          64    0.510197
          65    0.510269
          66    0.510288
          67    0.510279
          68    0.510284
          69    0.510261
          70    0.510246
          71     0.51022
          72     0.51024
          73     0.51024
          74    0.510277
          75    0.510289
          76    0.510256
          77    0.510294
          78    0.510256
          79    0.510248
          80    0.510269
          81    0.510275
          82    0.510251
          83    0.510254
          84    0.510265
          85    0.510268
          86    0.510263
          87    0.510248
          88    0.510238
          89    0.510232
          90    0.510238
          91    0.510224
          92    0.510234
          93    0.510217
          94    0.510211
          95    0.510207
          96    0.510188
          97    0.510192
          98    0.510194
          99    0.510208
         100    0.510204
