#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.81711    -3.81711           0
           2    -3.83413    -3.82562  0.00602006
           3    -3.81393    -3.82172  0.00512146
           4    -3.82151    -3.82167  0.00384137
           5    -3.79272    -3.81588  0.00602192
           6    -3.83453    -3.81899  0.00576522
           7    -3.82401    -3.81971   0.0049861
           8     -3.7984    -3.81704  0.00502384
           9    -3.82289    -3.81769   0.0045074
          10    -3.80387    -3.81631  0.00426336
          11    -3.80831    -3.81558  0.00393738
          12    -3.80777    -3.81493  0.00366264
          13    -3.82741    -3.81589  0.00350438
          14    -3.81067    -3.81552  0.00327381
          15    -3.81311    -3.81536   0.0030595
          16    -3.79643    -3.81418  0.00308862
          17    -3.83624    -3.81547  0.00316805
          18    -3.81024    -3.81518  0.00300538
          19    -3.83024    -3.81597  0.00294983
          20    -3.82469    -3.81641  0.00283433
          21    -3.82223    -3.81669  0.00271289
          22    -3.82128     -3.8169   0.0025976
          23    -3.80164    -3.81623  0.00256794
          24    -3.80842    -3.81591  0.00248148
          25    -3.81091    -3.81571  0.00239027
          26      -3.819    -3.81583  0.00230169
          27    -3.79525    -3.81507  0.00233929
          28    -3.81682    -3.81513  0.00225657
          29    -3.81095    -3.81499  0.00218337
          30    -3.81856    -3.81511  0.00211384
          31     -3.7949    -3.81446  0.00214385
          32    -3.82068    -3.81465  0.00208565
          33    -3.82788    -3.81505  0.00206061
          34    -3.82256    -3.81527  0.00201181
          35    -3.81621     -3.8153  0.00195451
          36    -3.82647    -3.81561  0.00192466
          37    -3.82424    -3.81584  0.00188671
          38    -3.81301    -3.81577  0.00183853
          39    -3.81715     -3.8158  0.00179173
          40    -3.80344     -3.8155   0.0017734
          41    -3.80233    -3.81517  0.00175897
          42    -3.81948    -3.81528  0.00172007
          43    -3.80373    -3.81501   0.0017009
          44    -3.80016    -3.81467  0.00169537
          45    -3.80598    -3.81448  0.00166867
          46     -3.8268    -3.81475  0.00165377
          47      -3.799    -3.81441  0.00165216
          48    -3.81957    -3.81452  0.00162123
          49    -3.79168    -3.81405  0.00165376
          50    -3.84668     -3.8147  0.00174467
          51    -3.80678    -3.81455  0.00171737
          52    -3.79655     -3.8142  0.00171887
          53    -3.80169    -3.81397  0.00170258
          54     -3.8037    -3.81378  0.00168162
          55    -3.79372    -3.81341  0.00169012
          56     -3.7935    -3.81306  0.00169693
          57    -3.79339    -3.81271  0.00170186
          58    -3.80649     -3.8126   0.0016759
          59      -3.806    -3.81249  0.00165122
          60     -3.8276    -3.81274  0.00164279
          61    -3.82206     -3.8129  0.00162294
          62    -3.81854    -3.81299  0.00159931
          63    -3.81424    -3.81301  0.00157405
          64    -3.81783    -3.81308  0.00155126
          65    -3.83485    -3.81342  0.00156312
          66    -3.83484    -3.81374  0.00157279
          67     -3.7997    -3.81353  0.00156321
          68    -3.82701    -3.81373  0.00155274
          69    -3.80511    -3.81361  0.00153526
          70    -3.82075    -3.81371  0.00151672
          71     -3.8064    -3.81361  0.00149885
          72    -3.83909    -3.81396  0.00151926
          73     -3.8327    -3.81422  0.00151999
          74    -3.83229    -3.81446  0.00151894
          75    -3.83209     -3.8147  0.00151676
          76    -3.81492     -3.8147   0.0014968
          77    -3.82389    -3.81482  0.00148211
          78    -3.80434    -3.81468  0.00146919
          79    -3.82947    -3.81487  0.00146247
          80    -3.82865    -3.81504  0.00145429
          81    -3.82325    -3.81514  0.00143986
          82    -3.81252    -3.81511  0.00142266
          83    -3.82732    -3.81526   0.0014131
          84    -3.82274    -3.81535  0.00139908
          85    -3.82762    -3.81549  0.00139005
          86     -3.8199    -3.81554  0.00137483
          87    -3.81357    -3.81552  0.00135922
          88    -3.81298    -3.81549  0.00134408
          89    -3.80041    -3.81532  0.00133962
          90    -3.81107    -3.81528  0.00132557
          91    -3.79823    -3.81509  0.00132418
          92    -3.82457    -3.81519  0.00131379
          93    -3.81735    -3.81521  0.00129987
          94    -3.82514    -3.81532  0.00129032
          95    -3.81065    -3.81527  0.00127768
          96    -3.80097    -3.81512  0.00127302
          97    -3.82372    -3.81521  0.00126298
          98    -3.81548    -3.81521   0.0012501
          99     -3.8231    -3.81529     0.00124
         100    -3.81407    -3.81528  0.00122766
