#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.67067     1.67067           0
           2     1.64791     1.65929    0.008047
           3     1.66752     1.66204  0.00581358
           4     1.68409     1.66755  0.00646685
           5     1.67945     1.66993  0.00559409
           6     1.66613      1.6693  0.00469736
           7     1.67969     1.67078   0.0042547
           8     1.67863     1.67176  0.00383433
           9     1.65528     1.66993  0.00382085
          10     1.67997     1.67094  0.00356832
          11     1.68506     1.67222  0.00346715
          12     1.68028     1.67289  0.00324263
          13     1.66394      1.6722  0.00306539
          14      1.6943     1.67378  0.00322721
          15     1.68147     1.67429  0.00305249
          16     1.68308     1.67484  0.00291066
          17     1.68692     1.67555   0.0028248
          18     1.67916     1.67575  0.00267495
          19     1.70984     1.67755  0.00307749
          20      1.6967      1.6785  0.00306894
          21     1.66567     1.67789  0.00298307
          22     1.69598     1.67872  0.00295857
          23     1.66669     1.67819  0.00287574
          24     1.71773     1.67984  0.00319318
          25     1.69262     1.68035  0.00310611
          26     1.67327     1.68008  0.00299855
          27     1.69418      1.6806  0.00293263
          28     1.70209     1.68137  0.00292655
          29     1.70093     1.68204   0.0029023
          30     1.67284     1.68174  0.00282174
          31     1.67536     1.68153  0.00273821
          32     1.69337      1.6819  0.00267754
          33     1.68469     1.68199  0.00259774
          34     1.69198     1.68228   0.0025379
          35     1.70912     1.68305  0.00257866
          36     1.67943     1.68295  0.00250899
          37     1.69635     1.68331  0.00246719
          38     1.70236     1.68381  0.00245268
          39     1.67875     1.68368  0.00239322
          40     1.68149     1.68362  0.00233402
          41     1.70994     1.68427  0.00236369
          42     1.68851     1.68437  0.00230957
          43     1.67323     1.68411  0.00227033
          44     1.68249     1.68407  0.00221903
          45     1.66863     1.68373   0.0021961
          46     1.66499     1.68332  0.00218581
          47     1.69193      1.6835  0.00214697
          48     1.68292     1.68349  0.00210228
          49     1.68102     1.68344  0.00205998
          50     1.68448     1.68346  0.00201888
          51     1.70434     1.68387  0.00202037
          52     1.69076       1.684  0.00198585
          53     1.68711     1.68406  0.00194925
          54     1.70283     1.68441  0.00194388
          55     1.66121     1.68399  0.00195379
          56     1.66466     1.68364  0.00194914
          57     1.68968     1.68375  0.00191782
          58     1.68948     1.68385  0.00188729
          59     1.66128     1.68347  0.00189368
          60     1.68529      1.6835  0.00186236
          61     1.68792     1.68357  0.00183324
          62     1.67679     1.68346  0.00180693
          63     1.67575     1.68334  0.00178238
          64     1.68655     1.68339  0.00175524
          65     1.67337     1.68323  0.00173499
          66     1.68785      1.6833  0.00171011
          67     1.69409     1.68346  0.00169215
          68     1.68198     1.68344  0.00166741
          69     1.70636     1.68377    0.001676
          70     1.66378     1.68349  0.00167623
          71     1.68245     1.68347  0.00165269
          72     1.69653     1.68365  0.00163965
          73     1.68356     1.68365  0.00161719
          74     1.66309     1.68338  0.00161903
          75     1.69332     1.68351  0.00160286
          76     1.68026     1.68347  0.00158234
          77     1.70218     1.68371  0.00158036
          78     1.67634     1.68361  0.00156291
          79     1.69679     1.68378    0.001552
          80     1.70548     1.68405  0.00155612
          81     1.68299     1.68404  0.00153697
          82     1.69911     1.68422  0.00152917
          83     1.68851     1.68427  0.00151162
          84     1.71371     1.68463  0.00153371
          85     1.68428     1.68462  0.00151567
          86     1.68059     1.68457  0.00149878
          87     1.66722     1.68437  0.00149477
          88     1.64794     1.68396  0.00153404
          89     1.69716     1.68411  0.00152396
          90     1.68684     1.68414  0.00150733
          91      1.6661     1.68394  0.00150374
          92     1.66501     1.68374  0.00150141
          93     1.71484     1.68407  0.00152205
          94     1.66651     1.68388  0.00151728
          95      1.6972     1.68402  0.00150776
          96     1.65492     1.68372  0.00152224
          97     1.67866     1.68367  0.00150744
          98     1.69924     1.68383  0.00150041
          99      1.7014       1.684  0.00149572
         100     1.67256     1.68389  0.00148513
