#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.41567    -5.41567           0
           2    -5.39315    -5.40441  0.00796436
           3    -5.41439    -5.40774  0.00596438
           4    -5.43082    -5.41351  0.00670758
           5    -5.42358    -5.41552  0.00566058
           6    -5.41116     -5.4148  0.00476359
           7    -5.42656    -5.41648  0.00436953
           8    -5.42483    -5.41752  0.00394618
           9    -5.40111     -5.4157  0.00390629
          10    -5.42663    -5.41679  0.00366543
          11    -5.43157    -5.41814   0.0035699
          12    -5.42516    -5.41872   0.0033201
          13    -5.41157    -5.41817  0.00310989
          14     -5.4414    -5.41983  0.00330069
          15    -5.42739    -5.42033  0.00311885
          16    -5.43048    -5.42097  0.00298775
          17    -5.43428    -5.42175  0.00291283
          18    -5.42502    -5.42193  0.00275666
          19    -5.45592    -5.42372  0.00313862
          20    -5.44349    -5.42471  0.00313348
          21    -5.41072    -5.42404  0.00305432
          22    -5.44316    -5.42491  0.00303658
          23    -5.41315     -5.4244   0.0029473
          24    -5.46481    -5.42609  0.00327031
          25    -5.43968    -5.42663  0.00318441
          26    -5.41984    -5.42637  0.00307261
          27    -5.44189    -5.42694  0.00301214
          28     -5.4498    -5.42776  0.00301313
          29    -5.44777    -5.42845  0.00298721
          30    -5.41901    -5.42813  0.00290417
          31    -5.42188    -5.42793  0.00281749
          32     -5.4396     -5.4283  0.00275292
          33    -5.43147    -5.42839  0.00267117
          34    -5.43988    -5.42873  0.00261389
          35    -5.45651    -5.42952  0.00265694
          36     -5.4258    -5.42942  0.00258514
          37    -5.44279    -5.42978  0.00254042
          38    -5.45009    -5.43032  0.00252914
          39    -5.42525    -5.43019  0.00246763
          40    -5.42797    -5.43013  0.00240656
          41    -5.45698    -5.43079  0.00243531
          42    -5.43461    -5.43088  0.00237903
          43    -5.41993    -5.43062  0.00233729
          44    -5.42977     -5.4306  0.00228425
          45    -5.41466    -5.43025  0.00226078
          46    -5.41023    -5.42981  0.00225312
          47    -5.43982    -5.43003  0.00221521
          48    -5.42914    -5.43001  0.00216914
          49    -5.42836    -5.42998  0.00212513
          50    -5.42982    -5.42997  0.00208263
          51    -5.45027    -5.43037  0.00207949
          52     -5.4364    -5.43049  0.00204273
          53    -5.43339    -5.43054  0.00200492
          54     -5.4487    -5.43088  0.00199579
          55    -5.40742    -5.43045  0.00200457
          56    -5.41157    -5.43011  0.00199692
          57    -5.43681    -5.43023  0.00196534
          58    -5.43542    -5.43032  0.00193349
          59    -5.40901    -5.42996  0.00193417
          60     -5.4321    -5.42999  0.00190226
          61    -5.43463    -5.43007   0.0018726
          62     -5.4222    -5.42994   0.0018467
          63    -5.42246    -5.42982   0.0018212
          64    -5.43203    -5.42986  0.00179307
          65    -5.41997    -5.42971  0.00177192
          66    -5.43536    -5.42979  0.00174714
          67    -5.44078    -5.42996  0.00172875
          68    -5.42807    -5.42993  0.00170355
          69    -5.45417    -5.43028  0.00171469
          70    -5.40989    -5.42999  0.00171476
          71    -5.42918    -5.42998  0.00169065
          72    -5.44305    -5.43016  0.00167689
          73    -5.42941    -5.43015  0.00165395
          74    -5.40777    -5.42985  0.00165903
          75    -5.44176    -5.43001  0.00164449
          76    -5.42632    -5.42996  0.00162357
          77    -5.44892     -5.4302  0.00162105
          78    -5.42295    -5.43011  0.00160293
          79    -5.44178    -5.43026  0.00158943
          80    -5.45187    -5.43053  0.00159237
          81    -5.42981    -5.43052  0.00157273
          82    -5.44617    -5.43071  0.00156509
          83    -5.43635    -5.43078  0.00154771
          84    -5.46018    -5.43113  0.00156838
          85    -5.43145    -5.43113  0.00154993
          86    -5.42608    -5.43107  0.00153302
          87    -5.41463    -5.43088    0.001527
          88    -5.39341    -5.43046  0.00156791
          89    -5.44284     -5.4306  0.00155646
          90    -5.43427    -5.43064   0.0015397
          91    -5.41218    -5.43044  0.00153609
          92    -5.40991    -5.43021  0.00153551
          93    -5.46214    -5.43056  0.00155692
          94    -5.41322    -5.43037  0.00155124
          95     -5.4443    -5.43052  0.00154183
          96    -5.40151    -5.43022  0.00155509
          97    -5.42513    -5.43016  0.00153994
          98     -5.4465    -5.43033  0.00153323
          99    -5.44877    -5.43052  0.00152901
         100    -5.41792    -5.43039   0.0015189
