#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.66385     1.66385           0
           2     1.79204     1.72794   0.0453219
           3     1.60421      1.6867   0.0452434
           4     1.52424     1.64609   0.0488739
           5      1.7391     1.66469   0.0424923
           6     1.70771     1.67186   0.0360102
           7     1.57561     1.65811   0.0333881
           8     1.60638     1.65164   0.0298341
           9     1.74735     1.66228   0.0283512
          10     1.65691     1.66174   0.0255211
          11     1.59705     1.65586   0.0238689
          12     1.68129     1.65798   0.0219737
          13     1.65586     1.65782   0.0202841
          14     1.59297     1.65318   0.0193568
          15     1.57577     1.64802   0.0187418
          16      1.5973     1.64485   0.0178366
          17     1.54228     1.63882   0.0177786
          18     1.60049     1.63669    0.016918
          19     1.48163     1.62853    0.017888
          20     1.60185     1.62719   0.0170433
          21     1.66466     1.62898   0.0163248
          22     1.44219     1.62049   0.0176531
          23     1.69188     1.62359   0.0171563
          24     1.42973     1.61551   0.0182442
          25     1.49165     1.61056   0.0181748
          26      1.6001     1.61016   0.0174802
          27     1.50131     1.60613   0.0172914
          28     1.46896     1.60123   0.0173539
          29     1.57661     1.60038   0.0167762
          30     1.66625     1.60257   0.0163601
          31     1.61836     1.60308   0.0158403
          32     1.62441     1.60375   0.0153593
          33     1.55485     1.60227   0.0149651
          34     1.51081     1.59958   0.0147648
          35         1.5     1.59673   0.0146145
          36     1.62812      1.5976   0.0142345
          37     1.52992     1.59578   0.0139668
          38     1.41487     1.59101   0.0143878
          39     1.60411     1.59135   0.0140228
          40     1.55901     1.59054   0.0136955
          41     1.46867     1.58757   0.0136803
          42     1.53367     1.58629   0.0134146
          43     1.63758     1.58748   0.0131555
          44     1.52322     1.58602   0.0129374
          45     1.65742     1.58761   0.0127468
          46     1.67256     1.58945   0.0126028
          47     1.52616     1.58811   0.0124064
          48     1.64779     1.58935     0.01221
          49     1.60183      1.5896   0.0119635
          50     1.56542     1.58912    0.011734
          51     1.47632     1.58691   0.0117105
          52     1.71159     1.58931   0.0117282
          53     1.59362     1.58939   0.0115072
          54     1.60219     1.58962   0.0112966
          55      1.6343     1.59044   0.0111203
          56     1.62711     1.59109    0.010941
          57     1.53647     1.59013    0.010791
          58     1.67241     1.59155   0.0106977
          59     1.63274     1.59225   0.0105392
          60      1.5426     1.59142    0.010396
          61     1.54808     1.59071   0.0102498
          62     1.61235     1.59106   0.0100904
          63     1.68762     1.59259    0.010046
          64     1.56421     1.59215  0.00989881
          65     1.60244     1.59231  0.00974778
          66     1.49368     1.59081  0.00971397
          67     1.54257     1.59009  0.00959563
          68     1.63641     1.59078  0.00947866
          69     1.54621     1.59013  0.00936327
          70     1.62117     1.59057     0.00924
          71     1.65136     1.59143  0.00914944
          72     1.61384     1.59174  0.00902765
          73     1.62959     1.59226  0.00891886
          74     1.72023     1.59399  0.00896443
          75     1.50316     1.59278  0.00892634
          76     1.60842     1.59298  0.00881126
          77     1.55674     1.59251  0.00870939
          78     1.67681     1.59359  0.00866453
          79     1.56909     1.59328   0.0085604
          80     1.52634     1.59245  0.00849419
          81     1.55399     1.59197  0.00840258
          82     1.52972     1.59121  0.00833434
          83      1.4873     1.58996  0.00832742
          84     1.42311     1.58797  0.00846185
          85     1.58479     1.58794  0.00836238
          86      1.6808     1.58902  0.00833457
          87     1.58395     1.58896  0.00823898
          88     1.80559     1.59142  0.00850516
          89     1.65592     1.59214  0.00844043
          90     1.58197     1.59203   0.0083474
          91     1.67664     1.59296  0.00830729
          92     1.65813     1.59367  0.00824714
          93     1.39799     1.59157   0.0084226
          94     1.60169     1.59167  0.00833369
          95     1.50077     1.59072  0.00830072
          96     1.67366     1.59158  0.00825909
          97      1.4982     1.59062  0.00822986
          98     1.52724     1.58997  0.00817125
          99     1.49713     1.58903  0.00814235
         100     1.69701     1.59011   0.0081322
