#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11378     1.11378           0
           2     1.09861     1.10619  0.00536467
           3     1.11168     1.10802  0.00387572
           4     1.12273      1.1117  0.00431123
           5     1.11963     1.11329  0.00372939
           6     1.11076     1.11286  0.00313157
           7      1.1198     1.11385  0.00283646
           8     1.11909     1.11451  0.00255622
           9     1.10352     1.11329  0.00254724
          10     1.11998     1.11396  0.00237888
          11     1.12337     1.11481  0.00231144
          12     1.12019     1.11526  0.00216176
          13      1.1093      1.1148  0.00204359
          14     1.12953     1.11585  0.00215147
          15     1.12098      1.1162  0.00203499
          16     1.12205     1.11656  0.00194044
          17     1.12461     1.11704   0.0018832
          18     1.11944     1.11717   0.0017833
          19     1.13989     1.11836  0.00205166
          20     1.13113       1.119  0.00204596
          21     1.11044      1.1186  0.00198871
          22     1.13065     1.11914  0.00197238
          23     1.11113      1.1188  0.00191716
          24     1.14516     1.11989  0.00212879
          25     1.12841     1.12023  0.00207074
          26     1.11551     1.12005  0.00199904
          27     1.12945      1.1204  0.00195508
          28     1.13472     1.12091  0.00195103
          29     1.13395     1.12136  0.00193487
          30     1.11522     1.12116  0.00188116
          31      1.1169     1.12102  0.00182548
          32     1.12892     1.12127  0.00178503
          33     1.12313     1.12132  0.00173182
          34     1.12798     1.12152  0.00169193
          35     1.13941     1.12203   0.0017191
          36     1.11962     1.12196  0.00167266
          37      1.1309      1.1222   0.0016448
          38     1.13491     1.12254  0.00163512
          39     1.11917     1.12245  0.00159548
          40       1.121     1.12242  0.00155601
          41     1.13996     1.12284  0.00157579
          42     1.12567     1.12291  0.00153971
          43     1.11549     1.12274  0.00151355
          44     1.12166     1.12271  0.00147935
          45     1.11242     1.12249  0.00146406
          46     1.10999     1.12221  0.00145721
          47     1.12796     1.12234  0.00143131
          48     1.12195     1.12233  0.00140152
          49     1.12068     1.12229  0.00137332
          50     1.12298     1.12231  0.00134592
          51     1.13623     1.12258  0.00134692
          52     1.12717     1.12267   0.0013239
          53     1.12474     1.12271   0.0012995
          54     1.13522     1.12294  0.00129592
          55     1.10747     1.12266  0.00130252
          56     1.10977     1.12243  0.00129943
          57     1.12645      1.1225  0.00127854
          58     1.12632     1.12257  0.00125819
          59     1.10752     1.12231  0.00126245
          60     1.12352     1.12233  0.00124158
          61     1.12528     1.12238  0.00122216
          62     1.11786     1.12231  0.00120462
          63     1.11717     1.12222  0.00118825
          64     1.12436     1.12226  0.00117016
          65     1.11558     1.12216  0.00115666
          66     1.12523      1.1222  0.00114007
          67     1.12939     1.12231   0.0011281
          68     1.12132     1.12229   0.0011116
          69     1.13757     1.12252  0.00111734
          70     1.10918     1.12233  0.00111749
          71     1.12164     1.12232  0.00110179
          72     1.13102     1.12244   0.0010931
          73     1.12237     1.12244  0.00107812
          74     1.10873     1.12225  0.00107935
          75     1.12888     1.12234  0.00106858
          76     1.12017     1.12231   0.0010549
          77     1.13479     1.12247  0.00105357
          78     1.11756     1.12241  0.00104194
          79     1.13119     1.12252  0.00103467
          80     1.13699      1.1227  0.00103741
          81       1.122     1.12269  0.00102464
          82     1.13274     1.12282  0.00101945
          83     1.12567     1.12285  0.00100775
          84     1.14248     1.12308  0.00102247
          85     1.12285     1.12308  0.00101045
          86     1.12039     1.12305 0.000999183
          87     1.11148     1.12292 0.000996511
          88     1.09863     1.12264  0.00102269
          89     1.13144     1.12274  0.00101597
          90     1.12456     1.12276  0.00100488
          91     1.11074     1.12263  0.00100249
          92     1.11001     1.12249  0.00100094
          93     1.14322     1.12271   0.0010147
          94     1.11101     1.12259  0.00101152
          95     1.13146     1.12268  0.00100518
          96     1.10328     1.12248  0.00101483
          97      1.1191     1.12245  0.00100496
          98     1.13283     1.12255  0.00100028
          99     1.13426     1.12267 0.000997146
         100     1.11504     1.12259 0.000990089
