#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -3.745      -3.745           0
           2    -3.74524    -3.74512 8.26378e-05
           3    -3.74687     -3.7457 0.000480094
           4    -3.74673    -3.74596 0.000423144
           5    -3.74414    -3.74559 0.000469991
           6    -3.74503     -3.7455 0.000401021
           7    -3.74687     -3.7457  0.00038839
           8     -3.7462    -3.74576 0.000344946
           9    -3.74583    -3.74577 0.000306722
          10    -3.74666    -3.74586 0.000288634
          11    -3.74651    -3.74592 0.000268489
          12    -3.74488    -3.74583  0.00025953
          13    -3.74763    -3.74597  0.00027408
          14     -3.7471    -3.74605 0.000266133
          15    -3.74592    -3.74604 0.000248534
          16    -3.74741    -3.74613 0.000247231
          17    -3.74736     -3.7462 0.000243161
          18    -3.74586    -3.74618 0.000230358
          19    -3.74608    -3.74617 0.000218297
          20     -3.7468    -3.74621 0.000209579
          21    -3.74505    -3.74615 0.000206712
          22    -3.74718     -3.7462 0.000202575
          23    -3.74646    -3.74621 0.000194084
          24    -3.74708    -3.74624 0.000189359
          25    -3.74706    -3.74628 0.000184578
          26    -3.74657    -3.74629 0.000177824
          27    -3.74771    -3.74634 0.000178898
          28    -3.74771    -3.74639 0.000179083
          29    -3.74685    -3.74641 0.000173594
          30    -3.74617     -3.7464  0.00016798
          31    -3.74652     -3.7464 0.000162609
          32    -3.74622     -3.7464 0.000157624
          33    -3.74677    -3.74641 0.000153261
          34    -3.74791    -3.74645  0.00015495
          35    -3.74739    -3.74648 0.000152797
          36    -3.74638    -3.74648 0.000148579
          37    -3.74644    -3.74648 0.000144566
          38    -3.74773    -3.74651 0.000144479
          39     -3.7465    -3.74651 0.000140774
          40    -3.74648    -3.74651 0.000137257
          41    -3.74704    -3.74652 0.000134518
          42    -3.74611    -3.74651 0.000131677
          43     -3.7467    -3.74651 0.000128687
          44    -3.74728    -3.74653  0.00012694
          45    -3.74604    -3.74652 0.000124598
          46    -3.74524    -3.74649 0.000124944
          47    -3.74788    -3.74652 0.000125738
          48    -3.74622    -3.74652 0.000123281
          49    -3.74734    -3.74653 0.000121892
          50    -3.74535    -3.74651 0.000121738
          51    -3.74593     -3.7465 0.000119876
          52    -3.74564    -3.74648  0.00011869
          53    -3.74627    -3.74648 0.000116515
          54    -3.74587    -3.74647 0.000114899
          55    -3.74621    -3.74646 0.000112906
          56    -3.74691    -3.74647 0.000111173
          57    -3.74713    -3.74648 0.000109824
          58    -3.74594    -3.74647 0.000108322
          59    -3.74773    -3.74649 0.000108565
          60    -3.74681     -3.7465 0.000106885
          61    -3.74671     -3.7465  0.00010519
          62     -3.7454    -3.74648 0.000104982
          63    -3.74671    -3.74649 0.000103374
          64    -3.74548    -3.74647 0.000102957
          65    -3.74661    -3.74647 0.000101395
          66    -3.74752    -3.74649 0.000101082
          67    -3.74669    -3.74649 9.96179e-05
          68    -3.74609    -3.74649 9.83299e-05
          69    -3.74781    -3.74651 9.87422e-05
          70    -3.74611     -3.7465 9.74916e-05
          71    -3.74673     -3.7465   9.617e-05
          72    -3.74652     -3.7465 9.48346e-05
          73    -3.74585     -3.7465 9.39541e-05
          74    -3.74467    -3.74647  9.5856e-05
          75    -3.74844     -3.7465 9.80928e-05
          76    -3.74606    -3.74649 9.69714e-05
          77    -3.74673    -3.74649 9.57636e-05
          78    -3.74661     -3.7465 9.45468e-05
          79    -3.74499    -3.74648 9.52481e-05
          80    -3.74639    -3.74648 9.40633e-05
          81    -3.74681    -3.74648  9.2993e-05
          82    -3.74706    -3.74649 9.21257e-05
          83    -3.74785     -3.7465 9.24622e-05
          84    -3.74647     -3.7465 9.13622e-05
          85    -3.74717    -3.74651 9.06242e-05
          86     -3.7455     -3.7465 9.03352e-05
          87    -3.74741    -3.74651 8.99056e-05
          88    -3.74546     -3.7465 8.96661e-05
          89    -3.74568    -3.74649 8.91279e-05
          90    -3.74743     -3.7465 8.87433e-05
          91    -3.74607    -3.74649 8.78914e-05
          92     -3.7449    -3.74648  8.8628e-05
          93    -3.74731    -3.74649 8.81242e-05
          94     -3.7467    -3.74649 8.72171e-05
          95     -3.7471    -3.74649 8.65402e-05
          96     -3.7466     -3.7465 8.56453e-05
          97    -3.74648     -3.7465 8.47626e-05
          98    -3.74726     -3.7465 8.42563e-05
          99    -3.74737    -3.74651  8.3864e-05
         100    -3.74536     -3.7465 8.38083e-05
