#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.21961    -5.21961           0
           2    -5.23818     -5.2289  0.00656464
           3     -5.2252    -5.22767  0.00449048
           4    -5.25803    -5.23526   0.0073862
           5    -5.21106    -5.23042  0.00732482
           6    -5.19931    -5.22523  0.00772397
           7    -5.21896    -5.22434  0.00667226
           8    -5.24743    -5.22722   0.0064326
           9    -5.21241    -5.22558  0.00592463
          10     -5.2135    -5.22437  0.00545382
          11    -5.23469    -5.22531    0.005038
          12    -5.25169    -5.22751  0.00507517
          13    -5.19931    -5.22534  0.00512741
          14    -5.22074    -5.22501  0.00477169
          15    -5.23253    -5.22551  0.00447985
          16    -5.22582    -5.22553  0.00419991
          17    -5.22476    -5.22549   0.0039531
          18    -5.25471    -5.22711  0.00405319
          19    -5.22729    -5.22712  0.00383988
          20    -5.22036    -5.22678  0.00366275
