#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.64752     2.64752           0
           2     2.61912     2.63332    0.010041
           3     2.76269     2.67644   0.0358406
           4     2.62454     2.66347   0.0291353
           5     2.79459     2.68969   0.0330669
           6     2.76475      2.7022   0.0298285
           7     2.71034     2.70336   0.0255899
           8     2.61251     2.69201   0.0247834
           9     2.75414     2.69891   0.0229711
          10     2.83479      2.7125   0.0243634
          11     2.71278     2.71252   0.0221486
          12     2.58544     2.70193    0.022694
          13     2.80218     2.70965     0.02222
          14     2.70165     2.70907   0.0206402
          15     2.65676     2.70559   0.0195566
          16     2.69066     2.70465   0.0183566
          17     2.63813     2.70074    0.017689
          18     2.61107     2.69576   0.0173936
          19     2.71361      2.6967   0.0165035
          20      2.6742     2.69557   0.0157166
