        #BLOCK      ACTUAL_E        E_MEAN         ERR_E
             1      0.243795      0.243795             0
             2      0.212776      0.228286     0.0109668
             3       0.18449      0.213687     0.0139833
             4      0.180335      0.205349     0.0127329
             5      0.185449      0.201369     0.0107904
             6      0.235152         0.207     0.0103574
             7      0.256542      0.214077     0.0110341
             8      0.238187      0.217091      0.010058
             9        0.2646       0.22237     0.0102323
            10      0.242911      0.224424    0.00941303
            11      0.235935       0.22547    0.00861527
            12      0.319354      0.233294     0.0108847
            13      0.295824      0.238104     0.0110592
            14      0.236761      0.238008     0.0102697
            15      0.294525      0.241776      0.010253
            16      0.261437      0.243005    0.00968553
            17      0.237473      0.242679    0.00912125
            18      0.254721      0.243348    0.00863901
            19      0.233917      0.242852    0.00819858
            20      0.221461      0.241782     0.0078581
            21      0.246915      0.242027    0.00748771
            22      0.309243      0.245082    0.00774565
            23      0.236045      0.244689    0.00741884
            24       0.23199       0.24416    0.00712857
            25      0.235312      0.243806    0.00685221
            26      0.219638      0.242877    0.00665141
            27      0.303726       0.24513    0.00677611
            28      0.291566      0.246789    0.00673399
            29       0.25807      0.247178    0.00651301
            30      0.299387      0.248918    0.00652428
            31      0.218269      0.247929    0.00638829
            32      0.264239      0.248439    0.00620895
            33      0.234388      0.248013    0.00603539
            34      0.246562       0.24797    0.00585802
            35      0.247054      0.247944    0.00569071
            36      0.274623      0.248685    0.00558068
            37      0.250695       0.24874    0.00543012
            38      0.215638      0.247869    0.00535663
            39      0.214153      0.247004    0.00528858
            40      0.250582      0.247094    0.00515713
            41      0.205152      0.246071     0.0051318
            42      0.278767      0.246849    0.00506831
            43      0.288073      0.247808     0.0050403
            44      0.275917      0.248447    0.00496607
            45      0.240966       0.24828     0.0048585
            46      0.282039      0.249014    0.00480798
            47      0.282647       0.24973    0.00475864
            48      0.330077      0.251404    0.00494515
            49      0.219457      0.250752    0.00488702
            50      0.261781      0.250972    0.00479426
            51      0.260339      0.251156    0.00470377
            52      0.269633      0.251511    0.00462671
            53      0.303416      0.252491     0.0046419
            54      0.253066      0.252501    0.00455596
            55       0.25562      0.252558    0.00447347
            56      0.255628      0.252613    0.00439393
            57      0.289153      0.253254    0.00436335
            58      0.234359      0.252928    0.00430027
            59      0.304651      0.253805    0.00431581
            60      0.284873      0.254323    0.00427483
            61       0.22216      0.253795    0.00423714
            62       0.24731      0.253691    0.00417009
            63      0.179504      0.252513    0.00426693
            64      0.239294      0.252307    0.00420525
            65      0.253961      0.252332    0.00414063
            66      0.192306      0.251423    0.00417659
            67       0.26614      0.251642    0.00412002
            68      0.211021      0.251045    0.00410251
            69      0.231251      0.250758    0.00405307
            70       0.28967      0.251314    0.00403311
            71      0.241994      0.251183    0.00397844
            72      0.296261      0.251809    0.00397215
            73      0.274341      0.252117    0.00392971
            74       0.29859      0.252745    0.00392646
            75      0.234279      0.252499    0.00388182
            76       0.22173      0.252094     0.0038518
            77      0.244162      0.251991    0.00380315
            78      0.272044      0.252248    0.00376307
            79      0.204127      0.251639    0.00376442
            80      0.231372      0.251386    0.00372588
            81      0.237828      0.251219    0.00368364
            82      0.269978      0.251447    0.00364581
            83      0.264648      0.251606    0.00360535
            84      0.252104      0.251612    0.00356244
            85      0.220763      0.251249    0.00353896
            86      0.203533      0.250695    0.00354104
            87      0.246484      0.250646    0.00350067
            88      0.337194       0.25163    0.00359639
            89      0.237603      0.251472    0.00355943
            90      0.251619      0.251474    0.00351989
            91      0.279332       0.25178    0.00349449
            92      0.240197      0.251654    0.00345878
            93      0.143982      0.250496    0.00361016
            94      0.254949      0.250543    0.00357206
            95      0.271529      0.250764    0.00354129
            96      0.231669      0.250565    0.00350998
            97      0.316295      0.251243     0.0035386
            98      0.218117      0.250905     0.0035186
            99      0.185828      0.250248    0.00354393
           100      0.233037      0.250076    0.00351267
