        #BLOCK      ACTUAL_E        E_MEAN         ERR_E
             1     -0.451761     -0.451761             0
             2     -0.426508     -0.439134    0.00892797
             3     -0.376525     -0.418265     0.0180497
             4     -0.442883     -0.424419     0.0145488
             5     -0.444362     -0.428408     0.0121735
             6     -0.419483      -0.42692     0.0102351
             7      -0.46053     -0.431722    0.00983486
             8     -0.436507      -0.43232    0.00862367
             9     -0.433112     -0.432408    0.00766593
            10     -0.433621     -0.432529     0.0069003
            11     -0.421688     -0.431544      0.006343
            12     -0.405385     -0.429364    0.00617766
            13     -0.447927     -0.430792    0.00586516
            14     -0.423917       -0.4303    0.00546673
            15     -0.437319     -0.430768    0.00512227
            16     -0.414487     -0.429751    0.00490216
            17     -0.424392     -0.429436    0.00462392
            18     -0.429165     -0.429421    0.00436706
            19     -0.449823     -0.430494    0.00426719
            20     -0.431203      -0.43053    0.00405397
            21     -0.402004     -0.429171    0.00408217
            22     -0.446532     -0.429961    0.00397216
            23      -0.43126     -0.430017    0.00379986
            24     -0.443172     -0.430565    0.00368085
            25     -0.442716     -0.431051    0.00356556
            26     -0.433282     -0.431137    0.00342946
            27     -0.434727      -0.43127    0.00330502
            28     -0.413158     -0.430623    0.00324966
            29      -0.43319     -0.430712    0.00313881
            30       -0.4357     -0.430878    0.00303858
            31     -0.451951     -0.431558    0.00301564
            32     -0.442541     -0.431901    0.00294087
            33     -0.416808     -0.431443     0.0028871
            34     -0.438769     -0.431659    0.00281021
            35     -0.437588     -0.431828    0.00273502
            36     -0.464747     -0.432743    0.00280775
            37     -0.443356      -0.43303    0.00274648
            38     -0.442982     -0.433292    0.00268666
            39     -0.412089     -0.432748    0.00267221
            40        -0.427     -0.432604    0.00260927
            41     -0.437683     -0.432728    0.00254857
            42     -0.456084     -0.433284    0.00254783
            43     -0.432878     -0.433275     0.0024886
            44     -0.436062     -0.433338    0.00243285
            45     -0.416874     -0.432972    0.00240614
            46     -0.403981     -0.432342    0.00243497
            47     -0.440133     -0.432508     0.0023888
            48     -0.426495     -0.432382    0.00234231
            49     -0.457067     -0.432886    0.00234806
            50     -0.413602       -0.4325    0.00233256
            51     -0.451376     -0.432871      0.002316
            52     -0.436795     -0.432946    0.00227269
            53     -0.460664     -0.433469    0.00228919
            54     -0.440475     -0.433599    0.00225047
            55      -0.44399     -0.433788    0.00221747
            56     -0.429032     -0.433703     0.0021795
            57     -0.469869     -0.434337    0.00223171
            58     -0.410945     -0.433934    0.00222937
            59      -0.42534     -0.433788    0.00219634
            60     -0.428172     -0.433695    0.00216173
            61     -0.465783     -0.434221    0.00218936
            62     -0.430133     -0.434155    0.00215504
            63     -0.472256      -0.43476    0.00220406
            64     -0.451684     -0.435024    0.00218543
            65     -0.458243     -0.435381     0.0021808
            66     -0.445415     -0.435533    0.00215305
            67     -0.426701     -0.435401    0.00212495
            68     -0.468018     -0.435881    0.00214715
            69     -0.444249     -0.436002    0.00211946
            70     -0.429374     -0.435908    0.00209129
            71     -0.461205     -0.436264    0.00209197
            72     -0.410484     -0.435906    0.00209333
            73     -0.469324     -0.436364    0.00211412
            74     -0.421555     -0.436164      0.002095
            75     -0.433809     -0.436132     0.0020673
            76     -0.414143     -0.435843    0.00206025
            77     -0.427628     -0.435736    0.00203625
            78     -0.447054     -0.435881    0.00201531
            79     -0.452646     -0.436093    0.00200094
            80     -0.419364     -0.435884    0.00198683
            81      -0.40927     -0.435556    0.00198928
            82     -0.438231     -0.435588    0.00196529
            83     -0.453395     -0.435803    0.00195328
            84     -0.437744     -0.435826    0.00193017
            85     -0.435571     -0.435823    0.00190746
            86     -0.412549     -0.435552    0.00190438
            87     -0.441164     -0.435617    0.00188359
            88      -0.42461     -0.435492    0.00186633
            89     -0.416801     -0.435282    0.00185714
            90      -0.44654     -0.435407    0.00184071
            91     -0.426388     -0.435308    0.00182315
            92     -0.409331     -0.435025    0.00182507
            93     -0.332199      -0.43392    0.00211399
            94      -0.41486     -0.433717     0.0021012
            95     -0.443674     -0.433822     0.0020817
            96     -0.442725     -0.433915    0.00206208
            97     -0.416928     -0.433739    0.00204824
            98     -0.450761     -0.433913    0.00203469
            99     -0.445557     -0.434031    0.00201754
           100     -0.423644     -0.433927    0.00200003
