# BLOCK:   ACCEPTANCE:
1       0.49275
2       0.51075
3       0.51175
4       0.51975
5       0.51175
6        0.5015
7       0.49675
8         0.495
9         0.504
10        0.4995
11       0.50025
12       0.50975
13         0.511
14       0.51275
15       0.50925
16         0.495
17         0.501
18         0.494
19       0.50075
20        0.4995
21       0.50675
22       0.50575
23       0.49325
24        0.4915
25       0.50075
26         0.499
27       0.50775
28       0.50025
29       0.51375
30         0.518
31         0.506
32         0.502
33        0.5025
34       0.49375
35       0.50425
36       0.49725
37          0.51
38       0.49975
39       0.51375
40       0.51075
41        0.5045
42       0.50225
43       0.49925
44       0.49725
45         0.507
46       0.51775
47         0.499
48       0.50325
49        0.5135
50       0.51325
51        0.5175
52       0.52425
53         0.491
54       0.50925
55         0.516
56       0.51175
57         0.498
58       0.51125
59        0.5165
60        0.4995
61         0.494
62         0.509
63         0.507
64        0.5015
65       0.50625
66       0.51725
67         0.521
68         0.518
69         0.506
70       0.49775
71        0.5135
72        0.5085
73         0.495
74        0.5065
75        0.5065
76       0.51175
77         0.509
78       0.51475
79       0.51875
80       0.50775
81         0.504
82       0.51225
83         0.519
84       0.49525
85         0.504
86       0.51025
87           0.5
88       0.50675
89        0.5135
90        0.5005
91       0.50425
92       0.49825
93        0.5105
94        0.5085
95       0.50725
96       0.49875
97        0.5075
98        0.5235
99        0.5065
100       0.51325
