# BLOCK:   ACCEPTANCE:
1          0.49
2         0.508
3         0.524
4           0.5
5         0.518
6         0.507
7        0.5135
8         0.515
9         0.522
10        0.5025
11        0.5005
12         0.508
13         0.498
14         0.493
15         0.503
16        0.4955
17         0.513
18         0.502
19         0.498
20        0.5025
21        0.5175
22         0.493
23         0.524
24         0.508
25        0.5165
26         0.516
27         0.512
28        0.5125
29         0.494
30         0.506
31        0.5045
32         0.506
33        0.5065
34          0.51
35         0.508
36         0.502
37        0.5045
38         0.498
39        0.4865
40         0.505
41        0.4995
42         0.514
43         0.497
44         0.498
45         0.511
46        0.5155
47         0.484
48        0.4885
49         0.488
50        0.5065
51        0.5015
52        0.4965
53        0.4955
54         0.523
55        0.4905
56        0.5125
57         0.521
58        0.5015
59         0.506
60        0.5245
61        0.5055
62         0.492
63        0.5145
64        0.4965
65        0.5045
66        0.5065
67        0.5025
68         0.512
69        0.4995
70         0.496
71         0.501
72         0.493
73        0.4945
74        0.5035
75         0.499
76        0.4965
77        0.5045
78         0.518
79        0.5115
80         0.503
81         0.514
82        0.4945
83         0.524
84         0.494
85         0.515
86         0.481
87         0.497
88        0.4825
89        0.5115
90         0.496
91         0.515
92        0.5215
93         0.495
94         0.511
95        0.5085
96        0.5095
97         0.504
98        0.5165
99          0.49
100         0.501
