#T            mu         sigma             E         ERR_E
1.5      0.439013      0.877002     -0.273964     0.0135073
1.48515     -0.677544       0.35339      0.745371     0.0370919
1.47044       1.04679      0.868004       0.30776     0.0159568
1.45589      0.971626      0.658402     -0.308044     0.0152133
1.44147      0.540187      0.651653     -0.262763     0.0128579
1.4272     -0.649733      0.891878     -0.241666     0.0125138
1.41307      -1.16162      0.577029      0.122484     0.0073801
1.39908     -0.637999       1.22672      0.604874     0.0329531
1.38522      0.477909      0.765219     -0.237121     0.0116776
1.37151    -0.0388098      0.869757     -0.176549    0.00886986
1.35793     0.0144627       1.58296       1.58663     0.0792627
1.34449       1.18434      0.884899       1.11403     0.0557619
1.33117     0.0116837      0.857333     -0.160456    0.00805506
1.31799      0.139899      0.460299      0.820687     0.0402267
1.30494     -0.813957      0.311578       1.44596     0.0707143
1.29202      0.334213       1.41691      0.733614     0.0379306
1.27923     -0.184405      0.571585      0.317601     0.0159393
1.26657      0.527177       0.82854     -0.285874     0.0140963
1.25403      -1.02112      0.516952     -0.160486    0.00802311
1.24161       1.27421      0.481976      0.507549     0.0249072
1.22932      0.948514      0.637473     -0.345787     0.0169771
1.21715      0.127937       1.02275     -0.238526     0.0119415
1.20509      -0.22817       1.36981      0.478039     0.0269674
1.19316      0.399692      0.959449     -0.266487     0.0132272
1.18135      -0.35295      0.432733      0.370697     0.0181779
1.16965     -0.669653      0.701682     -0.361743     0.0177187
1.15807     -0.199606       1.12084      -0.20095      0.010569
1.14661        1.1718      0.916974        1.2214     0.0613728
1.13525      -0.91243       1.24227       1.47576     0.0760204
1.12401     -0.551607      0.321274       1.06087      0.052028
1.11288       1.07064       0.94427      0.777413     0.0409503
1.10187      -0.28122      0.699709    -0.0498134    0.00282975
1.09096      0.987667      0.891637      0.333196     0.0187823
1.08015       1.30344      0.383366      0.942241     0.0460864
1.06946     0.0952926      0.975463     -0.247238       0.01216
1.05887     -0.720167       1.03742      0.119993     0.0111607
1.04839      -1.29751      0.317875       1.53627     0.0751233
1.03801      -1.23047      0.683288       0.63023     0.0319538
1.02773     0.0486921       1.17541      -0.14796    0.00857125
1.01755      -1.12039       1.09951       1.86725     0.0936477
1.00748      0.261521       1.48849         1.315     0.0677497
0.997505      0.261584      0.298666        1.1985       0.05857
0.987628      0.131019       1.43069      0.688073     0.0360784
0.97785      0.346057      0.421259      0.438444     0.0215324
0.968168     -0.665727       1.42124       1.70844     0.0888025
0.958582       1.15348      0.507506      0.131073    0.00660468
0.949091      0.242897       1.10865     -0.162898    0.00940611
0.939695      -1.26144      0.691775      0.758279     0.0379176
0.930391     -0.205023       1.30251      0.163343     0.0102117
0.921179      0.271315      0.668376     0.0157646    0.00200306
0.912058     -0.324679      0.372669      0.633853     0.0310956
0.903028      0.553413       1.61128       2.84887       0.14258
0.894087      0.786448      0.655269      -0.43014     0.0210095
0.885235    -0.0238517      0.671679      0.133868    0.00704883
0.87647       -1.0078      0.662126      -0.22382     0.0113415
0.867792      -0.85396      0.445663    -0.0275009    0.00305993
0.8592     -0.130756        1.1004     -0.189384    0.00965664
0.850693     -0.802531      0.878577     -0.139239    0.00806931
0.84227     -0.101418       1.07981     -0.210361     0.0113768
0.833931     -0.239714       1.07898     -0.191922      0.011089
0.825674    0.00504611         1.384      0.402266     0.0224645
0.817499       -1.5108      0.545018       2.11039      0.103215
0.809405      -0.91982      0.949681       0.29505     0.0171481
0.801391      0.642777      0.631862     -0.373172     0.0182255
0.793457     0.0942212      0.967169      -0.23265     0.0115311
0.785601      -0.56842       1.36003      0.982907     0.0498458
0.777823     -0.343465      0.654216      -0.03375    0.00272737
0.770121      0.400604      0.906136     -0.240631     0.0120607
0.762496      0.072934      0.842263     -0.153658    0.00761074
0.754947      -1.43832       0.49395       1.41505     0.0691633
0.747472     -0.237096      0.670456     0.0478643    0.00318746
0.740072     -0.846031      0.482135     -0.228477     0.0114656
0.732744     -0.396892      0.848898      -0.26012      0.012789
0.725489      0.903905      0.657679     -0.372532     0.0183102
0.718306      0.958822      0.487502     -0.145836    0.00731687
0.711194       1.07893      0.923911      0.815385     0.0409335
0.704153      0.884232      0.463332     -0.104613    0.00554444
0.697181      0.473123      0.693673     -0.206581     0.0102361
0.690278       0.56971      0.461592     -0.124524    0.00650757
0.683444     -0.900669      0.472117     -0.146475    0.00771435
0.676677       1.02294      0.807921     0.0809684    0.00888206
0.669977     -0.341493      0.760451     -0.147787    0.00742653
0.663344     -0.234933       0.77454     -0.118835    0.00600137
0.656776      0.328881      0.921254     -0.240802     0.0120891
0.650273      0.042842       1.26103     0.0611637    0.00720711
0.643835      0.542545      0.967969      -0.20606     0.0104213
0.63746      0.658332        1.2813      0.960841     0.0500079
0.631149     -0.555691      0.567721     -0.235702     0.0115655
0.6249      0.579451       0.75124     -0.302732     0.0147722
0.618713     -0.784195       1.14756      0.448819     0.0252431
0.612587     -0.377825      0.637937     -0.066922    0.00393471
0.606522       0.37342        1.3215      0.576053     0.0305327
0.600516     -0.555293       1.25978      0.405091     0.0232846
0.594571     -0.631958       0.77453     -0.334216     0.0163659
0.588684     -0.156307      0.728663    -0.0103287    0.00192082
0.582855     -0.190084       1.16592     -0.129598    0.00896414
0.577084      0.405139      0.905718     -0.259972      0.012751
0.571371      0.663383       0.40303      0.214275     0.0114279
0.565714     -0.283627       1.16807     -0.072285    0.00654083
0.560112     -0.471184      0.602704      -0.13311    0.00670841
0.554567     -0.204233       1.04777     -0.244354     0.0123255
0.549076    -0.0309643       1.31843      0.241196     0.0149703
0.54364     -0.431196      0.572874    -0.0556584    0.00336225
0.538257      0.160983      0.730104    -0.0286772    0.00217779
0.532928      0.172224       1.00845     -0.240132     0.0120363
0.527651     0.0157837       1.04436     -0.249371      0.012452
0.522427       1.11397      0.383658       0.49075      0.024196
0.517254       0.59286      0.763928     -0.322888     0.0157741
0.512133      0.826559      0.590314     -0.430562     0.0209979
0.507063     -0.798378      0.631205     -0.440813     0.0215131
0.502042     -0.674082      0.901835     -0.229383     0.0116813
0.497071      0.576548      0.524122     -0.236862     0.0116512
0.49215    -0.0785758      0.647713      0.200873     0.0100615
0.487277      0.798504      0.768621     -0.324448     0.0162997
0.482453      0.175803      0.902865     -0.225447     0.0111954
0.477676     -0.400548        0.8115     -0.222916     0.0109124
0.472946      0.738913      0.910906      -0.17369     0.0100781
0.468264        1.2104      0.546047      0.272499     0.0136059
0.463627      0.375614      0.843936     -0.248665     0.0122241
0.459037      0.574628      0.627345      -0.28112      0.013771
0.454492      0.421986       1.05111      -0.18602     0.0100195
0.449992     -0.440107       1.06259     -0.148724    0.00934318
0.445537     -0.255937       1.29693      0.269372      0.014574
0.441126       1.02237      0.998253      0.686437     0.0347953
0.436758      0.293867       1.33533      0.507135     0.0281817
0.432434     -0.150502       1.12717     -0.150915    0.00992674
0.428152     0.0189161       1.07406     -0.239341     0.0120671
0.423913     -0.489176      0.876815     -0.256393     0.0128389
0.419716     -0.241171      0.868503     -0.211248     0.0104444
0.41556      0.560687      0.628553     -0.285143     0.0139399
0.411446       1.02066       0.72987    -0.0913806     0.0072465
0.407372      0.722077      0.708461     -0.386894     0.0189323
0.403339     -0.142213       1.13842     -0.146994    0.00805369
0.399345      -0.92741      0.676099     -0.333242     0.0164475
0.395391      0.306108      0.374324      0.700264     0.0342566
0.391477       1.02569      0.677988     -0.172689    0.00917043
0.387601      0.330677      0.699033    -0.0781855    0.00420182
0.383763      0.172336      0.893691     -0.232932      0.011471
0.379963     -0.618363       1.03916    -0.0865143    0.00737431
0.376201      0.500928       0.58159     -0.166441    0.00827848
0.372477     -0.814299      0.553985     -0.405147     0.0197859
0.368789      0.647068      0.980968     -0.124848    0.00879972
0.365137     -0.458877      0.576048    -0.0829427    0.00442302
0.361522     -0.853247      0.647381     -0.429047     0.0209472
0.357943      0.432544      0.731156     -0.200462    0.00981774
0.354399      0.614647      0.614227     -0.331697     0.0161897
0.35089      0.823746       1.02312      0.295115     0.0191304
0.347416      -0.35237      0.686662    -0.0775751    0.00420383
0.343976      -0.51463       1.21591        0.1763     0.0116343
0.34057      0.645155      0.423485      0.028295    0.00348698
0.337198     0.0781369       1.05078     -0.237708     0.0119592
0.33386     -0.204422      0.643932      0.127207    0.00642271
0.330554      -0.78087      0.567353      -0.42496     0.0207307
0.327281     -0.556091      0.995468     -0.191387     0.0103371
0.324041     -0.225551      0.825006     -0.176614    0.00877177
0.320832     -0.197563       1.11586     -0.178861     0.0104084
0.317656    -0.0722733       1.15614     -0.152606    0.00883621
0.314511      0.798718       0.87424     -0.153702    0.00917289
0.311397     0.0971269       1.02061     -0.254441     0.0127688
0.308314      0.151362      0.786368     -0.104805    0.00531754
0.305261      -1.00975      0.634603     -0.252854      0.012576
0.302239     -0.418534      0.882807     -0.269963     0.0132347
0.299246      0.322144       1.10102     -0.143178    0.00852929
0.296283      0.764817      0.741588     -0.367277     0.0180602
0.29335      0.257054       1.15042     -0.153308    0.00977916
0.290445      0.321787      0.440877       0.44967     0.0220745
0.28757      0.168901       1.19309    -0.0346472    0.00532646
0.284723      0.665944       0.98667      -0.11904    0.00731703
0.281903     -0.868859      0.663316     -0.397987     0.0194673
0.279112    -0.0405358      0.726029     0.0209099    0.00269843
0.276349       1.04602      0.749135     0.0749632    0.00807509
0.273613     -0.910101      0.878143       0.04741    0.00774036
0.270904     -0.832079      0.744449      -0.34767     0.0171084
0.268222     -0.397878       1.08307     -0.130697    0.00869857
0.265566       0.92327      0.863396    -0.0374032    0.00511199
0.262936     -0.154407      0.980821     -0.261583     0.0130683
0.260333      0.107453       0.98391     -0.257102     0.0131043
0.257756      0.637888      0.543804     -0.315034     0.0154291
0.255204      0.466256       1.22278      0.264418     0.0182435
0.252677     -0.797206      0.725731     -0.372747     0.0183123
0.250175     -0.443413       1.12779     0.0109777     0.0105938
0.247698       0.48068      0.882723     -0.289675     0.0142323
0.245246     -0.559188       1.01941     -0.105466    0.00865397
0.242817     0.0747858       1.24948  -0.000339747    0.00802061
0.240413       0.14363      0.781699    -0.0871594    0.00461789
0.238033      0.407828      0.896049     -0.244752     0.0120481
0.235676      0.712114       0.60609     -0.416202     0.0202997
0.233343     -0.839409      0.727285     -0.358987     0.0176717
0.231032      0.925065      0.712655     -0.281204     0.0139059
0.228745      0.562538         1.105     -0.020144    0.00578268
0.22648      0.712224      0.632442     -0.416068     0.0202913
0.224238       0.83633      0.543488     -0.389515     0.0189964
0.222018      0.316001        0.8416     -0.221452     0.0109708
0.219819      0.940074      0.523356     -0.268475     0.0132458
0.217643      0.721015      0.621337     -0.417795     0.0203756
0.215488      0.230089       1.10185     -0.167303    0.00943177
0.213355    -0.0825138        1.0116     -0.248318     0.0124336
0.211242     -0.136794         1.197    0.00855545     0.0113346
0.209151      0.606288       0.75225     -0.341718     0.0167005
0.20708      0.254663       1.13288     -0.100631     0.0070844
0.20503     -0.928968       0.50444     -0.235002     0.0115909
0.203     -0.748047      0.671168      -0.42063     0.0205241
0.20099      0.893197      0.552691     -0.367282     0.0179389
0.199       1.08035      0.662865    -0.0643418     0.0045308
0.197029      0.486227      0.519467     -0.075313    0.00427178
0.195079      0.543553      0.613889     -0.246508     0.0121157
0.193147      0.938318      0.700172     -0.295443     0.0154064
0.191235      -0.63884      0.605051     -0.364272       0.01779
0.189341      0.821103      0.517194     -0.344716     0.0168661
0.187467     0.0530254       1.23404    -0.0562163    0.00625674
0.185611      0.876202      0.610367     -0.423912     0.0206897
0.183773      0.287396       1.16968    -0.0914781      0.007193
0.181953      0.873806      0.671244     -0.382252     0.0187579
0.180152      0.192216       1.13397     -0.135649    0.00796725
0.178368      0.588997      0.844381     -0.295104     0.0146997
0.176602     -0.912746      0.673814     -0.352786     0.0173759
0.174854      0.603411      0.609888     -0.324565     0.0158983
0.173122     -0.738664      0.596451     -0.425557     0.0207599
0.171408      0.608311      0.732794     -0.334505     0.0163562
0.169711      0.396419      0.923909     -0.274198     0.0136376
0.168031     -0.844408      0.565525     -0.405286     0.0197712
0.166367      0.587713      0.948482     -0.201662      0.011019
0.16472     -0.783357      0.613363     -0.435211     0.0212254
0.163089      0.849242      0.649125     -0.430684     0.0210157
0.161474      0.129406      0.855498     -0.187773    0.00924969
0.159876      0.902347      0.739065     -0.279401     0.0144205
0.158293     -0.516775       0.84002     -0.267934     0.0132589
0.156725      -0.60082        1.0332     -0.103544     0.0073871
0.155174     -0.758718      0.626099     -0.434327     0.0211754
0.153637     -0.809176      0.802056     -0.278378      0.013989
0.152116     -0.619657      0.599675     -0.329526     0.0161362
0.15061      0.264904      0.952034     -0.240603     0.0118893
0.149119     -0.487699      0.741235     -0.252782     0.0123635
0.147642      0.354329      0.721981     -0.148264    0.00752024
0.146181      0.447376       1.05328     -0.216021     0.0110569
0.144733      -0.57709      0.927449      -0.25742     0.0128437
0.1433      0.347163      0.625957     0.0287752    0.00218107
0.141881      -0.88275      0.724712     -0.283954     0.0146396
0.140477     -0.657549      0.669144      -0.37829     0.0184572
0.139086      0.792511      0.859028     -0.199816     0.0108365
0.137709      0.328105      0.574893      0.127014     0.0067162
0.136345      0.934593      0.595894     -0.374391     0.0183015
0.134995     -0.910908       0.70567     -0.325304      0.016113
0.133659       0.67174      0.966436     -0.117656    0.00981658
0.132335     -0.815024      0.631664      -0.43974     0.0214644
0.131025      0.758787      0.564824       -0.4134     0.0201703
0.129728     -0.601068      0.760721     -0.321999     0.0157158
0.128443     -0.279184      0.985912     -0.250029     0.0125607
0.127172      0.862076      0.681546     -0.390179     0.0191346
0.125913      0.181031       1.03645     -0.232088     0.0116155
0.124666      0.874683      0.678648     -0.384342     0.0188725
0.123432     -0.536157      0.545198      -0.19754    0.00973093
0.12221      0.196777       1.18606     -0.112123    0.00775854
0.121      0.723295      0.526622     -0.360185     0.0176189
0.119802      0.746721      0.614892     -0.434995     0.0212036
0.118615      0.508915      0.825096     -0.271903     0.0133869
0.117441      0.722492      0.656514     -0.422226     0.0205964
0.116278     -0.811769      0.856471     -0.160779    0.00951281
0.115127      0.952474      0.557934     -0.325862     0.0159279
0.113987     -0.830371      0.531608     -0.366222     0.0178789
0.112858      -1.03689      0.566791     -0.211655     0.0104937
0.111741      0.716824      0.700789     -0.396331      0.019376
0.110635     -0.560087      0.858237      -0.28851     0.0141732
0.109539      0.790838      0.543089     -0.398321     0.0194452
0.108455      0.913609      0.765483     -0.236432     0.0118026
0.107381       0.31097      0.880896     -0.233428     0.0115342
0.106318      -0.18224        1.0331     -0.261288     0.0131239
0.105265     0.0578783       1.01527     -0.253853     0.0125805
0.104223     -0.695339      0.668495     -0.401682     0.0196058
0.103191     -0.770431       0.75768     -0.369636     0.0182059
0.102169      0.604393      0.581891     -0.313226     0.0153322
0.101158     -0.363731      0.925668     -0.255914     0.0127503
0.100156       -0.6779      0.799972     -0.317642     0.0156493
0.0991645       0.83638      0.523119     -0.345123     0.0168775
0.0981827      0.836202        0.5596     -0.409464     0.0199684
0.0972106      0.690925      0.690736     -0.390225     0.0190514
0.0962481      0.922348      0.727143     -0.272384     0.0141463
0.0952951      0.869383      0.615726     -0.432364     0.0210897
0.0943516      0.945151      0.714882     -0.281482     0.0138899
0.0934174       -0.6344      0.504563     -0.262305     0.0129229
0.0924925      0.983632      0.555951     -0.287381     0.0140881
0.0915767     -0.122286      0.836567     -0.162592    0.00808741
0.09067     0.0787659      0.812836     -0.136384    0.00686666
0.0897723      0.507679      0.813305     -0.284526     0.0140278
0.0888835      0.651219       0.69614     -0.360504     0.0175876
0.0880035      0.869966       0.72915     -0.349402     0.0172462
0.0871321     -0.695409      0.758364     -0.357852     0.0175046
0.0862694      0.851824       0.65732     -0.428425     0.0209091
0.0854153      0.626367      0.592936     -0.338715      0.016537
0.0845696      0.979879      0.722829      -0.20346     0.0106211
0.0837323      0.621715        0.7722      -0.33063     0.0161748
0.0829032      0.881436      0.717634     -0.332242     0.0163242
0.0820824     -0.659207      0.539259      -0.34103     0.0166624
0.0812697      -1.00371      0.575094     -0.257445      0.012705
0.0804651      -0.72482      0.591611     -0.419746      0.020471
0.0796684     -0.684372       0.66492     -0.390495     0.0190469
0.0788796     -0.919163      0.613667     -0.370632     0.0181951
0.0780986     -0.822978      0.739203     -0.362921     0.0179452
0.0773253     -0.692657      0.666559     -0.392706     0.0191527
0.0765597     -0.936832       0.61647     -0.348001     0.0170508
0.0758017     -0.708804      0.566586     -0.395073     0.0192841
0.0750512     0.0351237       1.09709     -0.194814     0.0106724
0.0743081       0.58195      0.586722     -0.287324     0.0141277
0.0735724      0.883774      0.723726     -0.320154     0.0159888
0.072844      0.262409      0.814993     -0.174203    0.00872025
0.0721227       0.65439      0.866876     -0.230666     0.0127783
0.0714087      0.568516      0.812488     -0.296493     0.0145601
0.0707016       0.63691      0.817016     -0.305441     0.0150233
0.0700016      0.731618      0.724969     -0.387302     0.0189274
0.0693085     -0.791559        0.7009     -0.402378     0.0196752
0.0686223     -0.596545      0.749567     -0.316829     0.0155297
0.0679429      0.815224      0.638237      -0.44052     0.0215273
0.0672702      -0.63948      0.890017     -0.252633     0.0126045
0.0666041     -0.779422       0.66055     -0.434046     0.0211647
0.0659447      0.559396      0.730365     -0.300328     0.0147228
0.0652918     -0.727118      0.686697     -0.403594     0.0197009
0.0646453      0.716746      0.591976     -0.422174     0.0205892
0.0640053      0.737317      0.619157     -0.433821     0.0211662
0.0633716       0.01289      0.972576      -0.26028     0.0129673
0.0627441     -0.731489      0.643118     -0.419611     0.0204725
0.0621229     -0.796481      0.670699     -0.414698     0.0202753
0.0615078      0.798191      0.671237     -0.427921     0.0208818
0.0608988     -0.742519      0.643168     -0.435907     0.0212528
0.0602959     -0.622892      0.630899     -0.343059     0.0167893
0.0596989     -0.852286      0.550908     -0.388856     0.0189821
0.0591078     -0.906029      0.710377     -0.336773     0.0165921
0.0585226     -0.922346      0.579513       -0.3682     0.0179815
0.0579431      0.508045      0.789997     -0.271498     0.0133105
0.0573694      0.829887      0.640578     -0.425992     0.0207963
0.0568014     -0.118773       1.01014      -0.24806     0.0123149
0.056239       0.97308      0.552047     -0.290761     0.0142072
0.0556822      0.631894      0.714524     -0.355231      0.017343
0.0551309     -0.761891      0.612889     -0.437943     0.0213521
0.0545851      0.763679      0.569462     -0.421337     0.0205492
0.0540446      0.714953      0.570655     -0.394628      0.019245
0.0535095     -0.544655      0.836745     -0.296578      0.014569
0.0529797     -0.682324      0.707608      -0.37529      0.018327
0.0524552     -0.876105       0.59058      -0.41575     0.0203097
