# EV_STEP          L_best             <L>
0         33.1177         40.8198
1         31.0863         38.4802
2         31.0863         35.2508
3          30.726         34.2704
4          29.475         32.8007
5         26.8545         31.5835
6         26.8545         30.5118
7          26.458         29.3325
8         24.9152         28.0961
9         24.7027         27.2235
10         24.3653         26.3961
11         22.7586         25.9876
12         22.7586         25.3276
13         22.6689          24.406
14         22.6689         24.0569
15          22.136         23.6174
16         21.9234         23.1386
17         21.9234         22.8568
18         21.8304         22.5396
19         20.3652         22.4496
20         20.2108         22.0779
21         20.0413         21.7358
22         17.9097         21.4748
23         17.9097         20.7261
24         16.4926         19.5917
25         16.4926         18.9339
26         16.1178         17.9082
27         16.1045         17.2266
28         14.9461         16.8176
29         14.4295         16.5085
30         13.6837         16.1421
31         13.3607         15.4045
32         13.3607         14.6469
33         13.3607         14.1495
34         13.3607         13.8221
35         12.7958         13.6686
36         12.7958         13.5428
37         12.7825         13.4613
38         12.4648         13.3337
39          12.115           13.04
40          12.115         12.9666
41          12.115         12.6768
42         11.7916         12.3867
43         11.7916          12.214
44         11.7916         12.0472
45         11.7916         12.0007
46         11.7916         11.9715
47         11.7916          11.978
48         11.5567         11.9578
49         11.5567         11.9196
50         11.5435         11.9177
51         11.5435         11.7919
52         11.5435         12.0957
53         11.4698         12.2878
54         11.4698         12.0319
55         10.9586         12.0726
56         10.9586           12.03
57         10.9586         11.7097
58         10.8525         11.6768
59         10.5177         11.5369
60         10.5177          11.312
61         8.62876         11.2077
62         8.62876         10.7835
63         8.30831         10.1652
64         8.18791         9.31531
65         8.16614         8.57646
66         8.16614         8.41091
67         8.16614         8.37022
68         8.16614         8.24439
69         8.16614         8.40077
70         8.16614         8.35406
71         8.16614          8.3249
72         8.16614         8.42366
73         8.16614         8.56434
74         8.16614         8.61901
75         8.16614         8.35037
76         8.16614         8.26529
77         8.16614         8.27606
78         8.16614          8.2326
79         8.16614         8.34046
80         8.16614         8.20608
81         8.16614         8.62307
82         8.16614         8.61448
83         8.16614         8.50448
84         8.16614         8.27963
85         8.16614         8.25946
86         8.14867         8.22265
87         8.14867         8.27264
88         8.06525         8.28963
89         8.04779         8.28185
90         8.04779         8.32885
91         8.04779         8.38449
92         8.04779          8.2224
93         8.04779          8.1326
94         8.04779         8.15098
95         8.04779         8.12738
96         8.04779         8.18122
97         8.04779         8.47025
98         8.04779         8.46276
99         8.04779         8.21794
100         8.04779         8.18167
101         8.04779         8.23019
102         8.04779         8.09479
103         8.04779         8.14795
104         8.04779         8.12527
105         8.04779         8.29312
106         8.04779         8.21915
107         8.04779         8.12222
108         8.04779         8.24377
109         8.04779          8.1154
110         8.04779         8.15037
111         8.04779         8.14025
112         8.04779         8.21016
113         8.04779         8.20216
114         8.04779         8.22001
115         8.04779         8.26867
116         8.04779         8.45268
117         8.04779         8.44426
118         8.04779         8.33619
119         8.04779         8.33076
120         8.04779         8.34362
121         8.04779         8.26326
122         8.04779         8.27891
123         8.04779         8.21353
124         8.04779         8.22964
125         8.04779         8.29002
126         8.04779         8.34841
127         8.04779         8.44333
128         8.04779         8.13616
129         8.04779         8.12155
130         8.04779         8.06606
131         8.04779         8.05071
132         8.04779         8.04917
133         8.04779         8.15333
134         8.04779         8.11492
135         8.04779         8.20839
136         8.04779         8.18627
137         8.04779          8.2171
138         8.04779         8.32868
139         8.04779         8.32537
140         8.04779         8.39243
141         8.04779         8.28151
142         8.04779         8.10854
143         8.04779         8.08642
144         8.04779         8.04968
145         8.04779         8.10901
146         8.04779         8.11843
147         8.04779         8.19734
148         8.04779         8.35917
149         8.04779         8.15351
150         8.04779         8.36033
151         8.04779         8.34725
152         8.04779           8.546
153         8.04779         8.27087
154         8.04779         8.35036
155         8.04779          8.1278
156         8.04779         8.05034
157         8.04779         8.28589
158         8.04779         8.35316
159         8.04779         8.15011
160         8.04779         8.16352
161         8.04779         8.15799
162         8.04779         8.04787
163         8.04779         8.05395
164         8.04779         8.06119
165         8.04779         8.11759
166         8.04779         8.13877
167         8.04779         8.15341
168         8.04779         8.14407
169         8.04779         8.10522
170         8.04779         8.08856
171         8.04779         8.19223
172         8.04779         8.22745
173         8.04779         8.09802
174         8.04779         8.13877
175         8.04779         8.25225
176         8.04779         8.04901
177         8.04779         8.21156
178         8.04779          8.2376
179         8.04779         8.24249
180         8.04779         8.30416
181         8.04779         8.19361
182         8.04779         8.17835
183         8.04779         8.10936
184         8.04779         8.31035
185         8.04779         8.25373
186         8.04779         8.06917
187         8.04779          8.0743
188         8.04779         8.11426
189         8.04779         8.06522
190         8.04779         8.10008
191         8.04779         8.17052
192         8.04779         8.19228
193         8.04779         8.08718
194         8.04779         8.07712
195         8.04779         8.04812
196         8.04779         8.04888
197         8.04779         8.05594
198         8.04779         8.16635
199         8.04779         8.05009
200         8.04779         8.07583
201         8.04779         8.08427
202         8.04779         8.14722
203         8.04779          8.1164
204         8.04779         8.05383
205         8.04779          8.1652
206         8.04779         8.22272
207         8.04779         8.24144
208         8.04779         8.31743
209         8.04779         8.17122
210         8.04779         8.10653
211         8.04779         8.07065
212         8.04779         8.07924
213         8.04779         8.06525
214         8.04779         8.09117
215         8.04779         8.20011
216         8.04779         8.22222
217         8.04779         8.09805
218         8.04779         8.17269
