# EV_STEP          L_best             <L>
0         13.7132         17.2146
1         13.1539          16.145
2         13.0762         14.7263
3         12.5959         14.1011
4         12.4845         13.5073
5         12.3058         13.0915
6         12.1161         12.7974
7         11.7731         12.5728
8         11.7331          12.416
9         11.5041         12.2857
10         11.1886         12.1244
11         10.8695         11.9718
12         10.8695         11.7082
13         10.4927         11.3918
14         10.0573         11.2026
15         9.86268         10.9345
16         9.72163         10.7036
17         9.63958         10.3907
18         8.88273         10.1625
19         8.88273         9.93483
20         8.73377         9.61856
21         8.68686         9.35471
22         8.60317          9.2455
23         8.17374         8.98533
24         7.93637         8.72486
25         7.93637         8.64425
26         7.93637           8.406
27         7.93637         8.22859
28         7.88117         8.16286
29         7.63974         8.12209
30         7.63974         8.05281
31         7.17448         7.96972
32         7.17448         7.78732
33         7.03708         7.70881
34         7.03708         7.53931
35         7.03708          7.4387
36         7.03708         7.36698
37         7.03708         7.35655
38         6.97119         7.30385
39         6.97119         7.20832
40         6.97119         7.18773
41         6.97119         7.08504
42         6.77537         6.98846
43         6.77537         6.95795
44         6.77537         6.91254
45         6.77537         6.87638
46         6.77537         6.86969
47         6.77537         6.86492
48         6.77537         6.86471
49         6.77537         6.83807
50         6.77537         6.86192
51         6.77537         6.86782
52         6.77537         6.94191
53         6.70484          6.9583
54         6.70484         6.81319
55         6.70484         6.76949
56         6.56437         6.78869
57         6.45429         6.75912
58         6.38376         6.76238
59         6.38376         6.73795
60         6.38376         6.66168
61         6.38376         6.60589
62         6.35754         6.50715
63         6.35754         6.47758
64         6.35754         6.39677
65         6.31602         6.37042
66         6.31602         6.36915
67         6.31602         6.39763
68         6.31602         6.36855
69         6.31602         6.45892
70         6.11319         6.38216
71         6.11319          6.3552
72         6.11319          6.3847
73         6.11319         6.37089
74         6.11319         6.33137
75         6.07629         6.23576
76         6.07629         6.20355
77         6.07629          6.2454
78         6.07629          6.2441
79         6.07629          6.3063
80         5.99797         6.22723
81         5.99797         6.32111
82         5.95229         6.24763
83         5.87397         6.16687
84         5.87397         6.05365
85         5.86574          6.0244
86         5.86574         5.97832
87         5.81829         5.96244
88         5.81006         5.95931
89         5.81006         5.93478
90         5.81006         5.96261
91         5.81006         6.00219
92         5.81006         5.92014
93         5.81006          5.8835
94         5.81006         5.87449
95         5.81006          5.8895
96          5.7792         5.92959
97          5.7792         5.98934
98          5.7792         6.00716
99         5.77207         5.88472
100         5.76895         5.88252
101         5.76895         5.90076
102         5.76895         5.87689
103         5.76895         5.88414
104         5.76895         5.85715
105         5.76895         5.89613
106         5.76895         5.86024
107         5.76895         5.80661
108         5.76895         5.83843
109         5.76895         5.79935
110         5.76895         5.86032
111         5.76895         5.83458
112         5.76895         5.84333
113         5.76895         5.89482
114         5.76895         5.85245
115         5.76895         5.88128
116         5.76895         5.91775
117         5.76895         5.91448
118         5.76895         5.89998
119         5.76895         5.85983
120         5.76895         5.90423
121         5.76895         5.90482
122         5.76895         5.90444
123         5.76895         5.87136
124         5.76895          5.9066
125         5.76895         5.92619
126         5.76895          5.9065
127         5.76895         5.97631
128         5.76895         5.92139
129         5.76895         5.87076
130         5.76895         5.84566
131         5.76895         5.82294
132         5.76895         5.79469
133         5.76895         5.87552
134         5.76895         5.83771
135         5.76895         5.85517
136         5.76895         5.84954
137         5.76895         5.86483
138         5.76895         5.91378
139         5.76087         5.95125
140         5.76087          5.9703
141         5.76087         5.92368
142         5.76087         5.82098
143         5.76087         5.80373
144         5.76087         5.77122
145         5.76087         5.80616
146         5.76087         5.81555
147         5.76087         5.82239
148         5.76087         5.88636
149         5.76087           5.814
150         5.76087          5.8859
151         5.76087          5.8806
152         5.76087         5.93721
153         5.76087         5.87159
154         5.76087          5.9201
155         5.76087         5.84378
156         5.76087         5.76281
157         5.76087          5.9045
158         5.76087         5.93081
159         5.76087         5.84365
160         5.76087         5.82098
161         5.76087         5.79085
162         5.76087         5.76087
163         5.76087         5.76374
164         5.76087         5.77313
165         5.76087         5.79176
166         5.76087         5.79879
167         5.76087         5.84446
168         5.76087         5.81782
169         5.76087         5.78939
170         5.76087         5.77691
171         5.76087         5.84874
172         5.76087         5.84689
173         5.76087         5.77334
174         5.76087         5.79293
175         5.76087         5.86866
176         5.76087         5.77336
177         5.76087         5.86392
178         5.76087         5.88393
179         5.76087         5.88142
180         5.76087         5.87544
181         5.76087         5.83418
182         5.76087         5.84767
183         5.76087          5.7768
184         5.76087         5.85673
185         5.76087         5.83545
186         5.76087         5.77004
187         5.76087         5.77736
188         5.76087         5.79752
189         5.76087         5.76964
190         5.76087         5.78186
191         5.76087         5.80994
192         5.74395         5.82143
193         5.74395         5.77529
194         5.74395         5.76829
195         5.74395         5.75768
196         5.74395         5.75913
197         5.74395         5.76655
198         5.74395          5.8167
199         5.74395         5.74807
200         5.74395         5.76499
201         5.74395          5.7792
202         5.74065         5.83348
203          5.7297         5.79749
204          5.7297         5.75217
205          5.7297         5.78914
206          5.7297         5.83818
207          5.7297         5.81961
208          5.7297         5.83556
209          5.7297         5.79627
210          5.7297         5.75353
211          5.7297         5.73635
212          5.7297         5.75353
213          5.7297         5.74749
214          5.7297         5.79479
215          5.7297         5.82623
216          5.7297         5.82178
217          5.7297         5.76742
218         5.71338          5.8332
219         5.71338         5.86499
