#blocchi mean_prog err_prog
1 3.14775 0
2 3.16055 0.0127983
3 3.15669 0.00833335
4 3.15725 0.00591915
5 3.15276 0.00641824
6 3.15162 0.00536413
7 3.14939 0.00505112
8 3.14926 0.00437626
9 3.15089 0.00418958
10 3.14409 0.00776763
11 3.14795 0.00801959
12 3.14543 0.00774299
13 3.13962 0.00919471
14 3.13849 0.00858748
15 3.13759 0.00804491
16 3.13302 0.00880168
17 3.13389 0.00831299
18 3.1336 0.00784293
19 3.13493 0.00753756
20 3.13419 0.00718898
21 3.13312 0.00692196
22 3.13555 0.00703359
23 3.13648 0.00678562
24 3.13672 0.00650108
25 3.13714 0.00624949
26 3.13705 0.00600499
27 3.13797 0.00585207
28 3.13782 0.00564139
29 3.13664 0.00556846
30 3.13549 0.00550234
31 3.13552 0.00532202
32 3.13688 0.00532926
33 3.13723 0.00517695
34 3.13841 0.00515761
35 3.13807 0.00501899
36 3.13876 0.00492524
37 3.13913 0.00480509
38 3.13883 0.00468704
39 3.13813 0.00461824
40 3.13814 0.00450131
41 3.13774 0.00440787
42 3.1384 0.00435096
43 3.1379 0.00427738
44 3.13825 0.00419373
45 3.13957 0.00430532
46 3.14015 0.004251
47 3.13882 0.00436785
48 3.13801 0.00435102
49 3.13819 0.00426483
50 3.13956 0.00439981
51 3.13993 0.00432831
52 3.13967 0.00425244
53 3.13922 0.00419553
54 3.13925 0.00411723
55 3.13895 0.00405305
56 3.13907 0.00398195
57 3.13905 0.00391152
58 3.13831 0.00391459
59 3.1385 0.00385243
60 3.1387 0.00379272
61 3.13844 0.0037387
62 3.13901 0.00372229
63 3.13891 0.00366426
64 3.13886 0.00360683
65 3.13982 0.00367846
66 3.13952 0.00363534
67 3.13904 0.00361261
68 3.13961 0.00360435
69 3.1402 0.00360183
70 3.1403 0.00355138
71 3.14023 0.00350168
72 3.14069 0.00348205
73 3.14089 0.00344027
74 3.14103 0.00339613
75 3.14008 0.00348239
76 3.14029 0.003443
77 3.13989 0.00342189
78 3.13994 0.00337815
79 3.13955 0.00335862
80 3.14043 0.00343219
81 3.14009 0.00340662
82 3.13962 0.00339778
83 3.14025 0.00341617
84 3.14025 0.00337526
85 3.14026 0.00333535
86 3.14033 0.00329714
87 3.13984 0.00329657
88 3.14001 0.00326319
89 3.13952 0.00326301
90 3.13952 0.00322655
91 3.13952 0.0031909
92 3.13967 0.00315993
93 3.14031 0.00319097
94 3.14065 0.00317489
95 3.14009 0.00319163
96 3.13988 0.00316504
97 3.14028 0.0031573
98 3.1401 0.00312979
99 3.1403 0.00310424
100 3.14045 0.00307665
