# Block  acceptance
0      0.5107
1      0.5132
2      0.5281
3       0.505
4      0.5215
5      0.5179
6      0.5171
7      0.5086
8      0.5189
9      0.5145
10      0.5082
11       0.513
12      0.5183
13      0.5188
14      0.5209
15       0.515
16        0.51
17      0.5179
18      0.5116
19      0.5133
20      0.5252
21      0.5237
22      0.5071
23      0.5189
24      0.5141
25      0.5166
26      0.5073
27      0.5148
28      0.5133
29      0.5185
30       0.508
31      0.5112
32      0.5065
33      0.5077
34      0.5131
35      0.5098
36      0.5228
37      0.5149
38      0.5205
39      0.5232
40      0.5099
41      0.5082
42      0.5133
43      0.5191
44      0.5223
45      0.5141
46      0.5003
47      0.5032
48      0.5256
49      0.5235
50        0.51
51      0.5106
52      0.5161
53        0.52
54      0.5188
55      0.5132
56      0.5208
57      0.5138
58      0.5051
59      0.5218
60      0.5157
61      0.5224
62      0.5048
63      0.5199
64      0.5159
65       0.508
66      0.5181
67       0.515
68       0.508
69      0.5163
70      0.5232
71      0.5192
72      0.5203
73      0.5178
74      0.5032
75      0.5213
76      0.5087
77      0.5178
78      0.5177
79      0.5167
80      0.5068
81      0.5064
82      0.5152
83      0.5136
84       0.508
85      0.5271
86      0.5145
87      0.5177
88      0.5075
89      0.5111
90      0.5079
91      0.5257
92      0.5065
93      0.5201
94      0.5192
95      0.5085
96      0.5259
97      0.5086
98      0.5009
99      0.5192
